DATE,IPN32731S
1999-01-01,143.1408
1999-02-01,146.9685
1999-03-01,140.1569
1999-04-01,135.7726
1999-05-01,133.8387
1999-06-01,133.9415
1999-07-01,131.7844
1999-08-01,133.2481
1999-09-01,131.4090
1999-10-01,136.7384
1999-11-01,148.7622
1999-12-01,148.4391
2000-01-01,144.6257
2000-02-01,143.9853
2000-03-01,151.7260
2000-04-01,142.1560
2000-05-01,143.7403
2000-06-01,141.0211
2000-07-01,140.5438
2000-08-01,144.0078
2000-09-01,142.2195
2000-10-01,143.4700
2000-11-01,137.4468
2000-12-01,130.5311
2001-01-01,139.6212
2001-02-01,144.0119
2001-03-01,147.6176
2001-04-01,152.7136
2001-05-01,149.7220
2001-06-01,147.0667
2001-07-01,147.7762
2001-08-01,145.3660
2001-09-01,143.2778
2001-10-01,146.5513
2001-11-01,151.3547
2001-12-01,149.5098
2002-01-01,154.1419
2002-02-01,153.3632
2002-03-01,144.8050
2002-04-01,142.7848
2002-05-01,141.9244
2002-06-01,144.8840
2002-07-01,143.1954
2002-08-01,142.5378
2002-09-01,144.0206
2002-10-01,140.5446
2002-11-01,141.7547
2002-12-01,136.2256
2003-01-01,145.7225
2003-02-01,130.7091
2003-03-01,139.8525
2003-04-01,143.4343
2003-05-01,143.7151
2003-06-01,146.4852
2003-07-01,151.7970
2003-08-01,152.5045
2003-09-01,154.9714
2003-10-01,162.1089
2003-11-01,156.8136
2003-12-01,160.2361
2004-01-01,152.7935
2004-02-01,149.9024
2004-03-01,169.2242
2004-04-01,170.9724
2004-05-01,166.8887
2004-06-01,161.1153
2004-07-01,165.4145
2004-08-01,165.4143
2004-09-01,164.6825
2004-10-01,159.7835
2004-11-01,155.9546
2004-12-01,165.2719
2005-01-01,162.3785
2005-02-01,166.6087
2005-03-01,164.5933
2005-04-01,160.4672
2005-05-01,164.6119
2005-06-01,164.6056
2005-07-01,157.5220
2005-08-01,158.9628
2005-09-01,160.2600
2005-10-01,161.7869
2005-11-01,166.9371
2005-12-01,170.1463
2006-01-01,192.0652
2006-02-01,187.1223
2006-03-01,174.9067
2006-04-01,165.8442
2006-05-01,160.6413
2006-06-01,161.3169
2006-07-01,152.8826
2006-08-01,153.7660
2006-09-01,149.9777
2006-10-01,151.0768
2006-11-01,153.3352
2006-12-01,167.7831
2007-01-01,160.0941
2007-02-01,153.1254
2007-03-01,154.2816
2007-04-01,152.5540
2007-05-01,154.5391
2007-06-01,150.0106
2007-07-01,150.4820
2007-08-01,149.1286
2007-09-01,149.7947
2007-10-01,147.7852
2007-11-01,151.5280
2007-12-01,145.0422
2008-01-01,148.5896
2008-02-01,145.2157
2008-03-01,141.6361
2008-04-01,141.7037
2008-05-01,137.5872
2008-06-01,134.7065
2008-07-01,134.9949
2008-08-01,126.4644
2008-09-01,122.5857
2008-10-01,118.4858
2008-11-01,110.5243
2008-12-01,103.7625
2009-01-01,95.2680
2009-02-01,97.7121
2009-03-01,86.9590
2009-04-01,81.9796
2009-05-01,78.9117
2009-06-01,78.8185
2009-07-01,79.7505
2009-08-01,77.2573
2009-09-01,76.4036
2009-10-01,67.7822
2009-11-01,74.3734
2009-12-01,69.8465
2010-01-01,68.4438
2010-02-01,66.3308
2010-03-01,74.3536
2010-04-01,83.5931
2010-05-01,81.0666
2010-06-01,79.9186
2010-07-01,78.0252
2010-08-01,80.8380
2010-09-01,80.7044
2010-10-01,82.8921
2010-11-01,82.6790
2010-12-01,80.3016
2011-01-01,78.9985
2011-02-01,82.7830
2011-03-01,80.3358
2011-04-01,80.2174
2011-05-01,83.0374
2011-06-01,85.5268
2011-07-01,86.6476
2011-08-01,88.4671
