DATE,MORTGAGE30US
07-01-2000,8.15
14-01-2000,8.18
21-01-2000,8.26
28-01-2000,8.25
04-02-2000,8.25
11-02-2000,8.36
18-02-2000,8.38
25-02-2000,8.31
03-03-2000,8.27
10-03-2000,8.23
17-03-2000,8.24
24-03-2000,8.23
31-03-2000,8.23
07-04-2000,8.2
14-04-2000,8.12
21-04-2000,8.16
28-04-2000,8.13
05-05-2000,8.28
12-05-2000,8.52
19-05-2000,8.64
26-05-2000,8.62
02-06-2000,8.54
09-06-2000,8.32
16-06-2000,8.22
23-06-2000,8.14
30-06-2000,8.22
07-07-2000,8.16
14-07-2000,8.09
21-07-2000,8.21
28-07-2000,8.13
04-08-2000,8.12
11-08-2000,8.04
18-08-2000,7.96
25-08-2000,7.99
01-09-2000,7.96
08-09-2000,7.94
15-09-2000,7.88
22-09-2000,7.9
29-09-2000,7.88
06-10-2000,7.83
13-10-2000,7.84
20-10-2000,7.83
27-10-2000,7.68
03-11-2000,7.73
10-11-2000,7.79
17-11-2000,7.73
24-11-2000,7.73
01-12-2000,7.65
08-12-2000,7.54
15-12-2000,7.42
22-12-2000,7.17
29-12-2000,7.13
05-01-2001,7.07
12-01-2001,6.89
19-01-2001,7.02
26-01-2001,7.15
02-02-2001,7.09
09-02-2001,6.98
16-02-2001,7.01
23-02-2001,7.12
02-03-2001,7.03
09-03-2001,6.97
16-03-2001,6.96
23-03-2001,6.89
30-03-2001,6.91
06-04-2001,7.01
13-04-2001,7.04
20-04-2001,7.14
27-04-2001,7.12
04-05-2001,7.14
11-05-2001,7.1
18-05-2001,7.14
25-05-2001,7.2
01-06-2001,7.24
08-06-2001,7.2
15-06-2001,7.14
22-06-2001,7.11
29-06-2001,7.11
06-07-2001,7.19
13-07-2001,7.21
20-07-2001,7.08
27-07-2001,7.03
03-08-2001,7
10-08-2001,7
17-08-2001,6.92
24-08-2001,6.91
31-08-2001,6.92
07-09-2001,6.89
14-09-2001,6.86
21-09-2001,6.8
28-09-2001,6.72
05-10-2001,6.64
12-10-2001,6.58
19-10-2001,6.61
26-10-2001,6.64
02-11-2001,6.56
09-11-2001,6.45
16-11-2001,6.51
23-11-2001,6.75
30-11-2001,7.02
07-12-2001,6.84
14-12-2001,7.09
21-12-2001,7.17
28-12-2001,7.16
04-01-2002,7.14
11-01-2002,7.06
18-01-2002,6.83
25-01-2002,6.96
01-02-2002,7.02
08-02-2002,6.88
15-02-2002,6.86
22-02-2002,6.81
01-03-2002,6.8
08-03-2002,6.87
15-03-2002,7.08
22-03-2002,7.14
29-03-2002,7.18
05-04-2002,7.13
12-04-2002,6.99
19-04-2002,6.94
26-04-2002,6.88
03-05-2002,6.78
10-05-2002,6.79
17-05-2002,6.89
24-05-2002,6.81
31-05-2002,6.76
07-06-2002,6.71
14-06-2002,6.71
21-06-2002,6.63
28-06-2002,6.55
05-07-2002,6.57
12-07-2002,6.54
19-07-2002,6.49
26-07-2002,6.34
02-08-2002,6.43
09-08-2002,6.31
16-08-2002,6.22
