DATE,B230RC0Q173SBEA
01-01-2000,281304
01-04-2000,282002
01-07-2000,282769
01-10-2000,283518
01-01-2001,284169
01-04-2001,284838
01-07-2001,285584
01-10-2001,286311
01-01-2002,286935
01-04-2002,287574
01-07-2002,288303
01-10-2002,289007
01-01-2003,289609
01-04-2003,290253
01-07-2003,290974
01-10-2003,291669
01-01-2004,292237
01-04-2004,292875
01-07-2004,293603
01-10-2004,294334
01-01-2005,294957
01-04-2005,295588
01-07-2005,296340
01-10-2005,297086
01-01-2006,297736
01-04-2006,298408
01-07-2006,299180
01-10-2006,299946
01-01-2007,300609
01-04-2007,301284
01-07-2007,302062
01-10-2007,302829
01-01-2008,303494
01-04-2008,304160
01-07-2008,304902
01-10-2008,305616
01-01-2009,306237
01-04-2009,306866
01-07-2009,307573
01-10-2009,308285
01-01-2010,308901
01-04-2010,309460
01-07-2010,310062
01-10-2010,310675
01-01-2011,311176
01-04-2011,311684
01-07-2011,312293
01-10-2011,312887
01-01-2012,313385
01-04-2012,313888
01-07-2012,314488
01-10-2012,315085
01-01-2013,315539
01-04-2013,316020
01-07-2013,316626
01-10-2013,317244
01-01-2014,317760
01-04-2014,318287
01-07-2014,318921
01-10-2014,319557
01-01-2015,320058
01-04-2015,320578
01-07-2015,321205
01-10-2015,321831
01-01-2016,322354
01-04-2016,322871
01-07-2016,323473
01-10-2016,324048
01-01-2017,324496
01-04-2017,324948
01-07-2017,325475
01-10-2017,325963
01-01-2018,326325
01-04-2018,326703
01-07-2018,327167
01-10-2018,327602
01-01-2019,327923
01-04-2019,328270
01-07-2019,328730
01-10-2019,329186
01-01-2020,329529
01-04-2020,329898
01-07-2020,330368
01-10-2020,330815
01-01-2021,331011
01-04-2021,331209
