Series ID,Year,Period,Label,Value
CXUTOTALEXPLB0406M,2000,A01,2000 Annual,39340
CXUTOTALEXPLB0406M,2001,A01,2001 Annual,41462
CXUTOTALEXPLB0406M,2002,A01,2002 Annual,44330
CXUTOTALEXPLB0406M,2003,A01,2003 Annual,44191
CXUTOTALEXPLB0406M,2004,A01,2004 Annual,47299
CXUTOTALEXPLB0406M,2005,A01,2005 Annual,49592
CXUTOTALEXPLB0406M,2006,A01,2006 Annual,50789
CXUTOTALEXPLB0406M,2007,A01,2007 Annual,53786
CXUTOTALEXPLB0406M,2008,A01,2008 Annual,54783
CXUTOTALEXPLB0406M,2009,A01,2009 Annual,52463
CXUTOTALEXPLB0406M,2010,A01,2010 Annual,50900
CXUTOTALEXPLB0406M,2011,A01,2011 Annual,53616
CXUTOTALEXPLB0406M,2012,A01,2012 Annual,55636
CXUTOTALEXPLB0406M,2013,A01,2013 Annual,55892
CXUTOTALEXPLB0406M,2014,A01,2014 Annual,56267
CXUTOTALEXPLB0406M,2015,A01,2015 Annual,58781
CXUTOTALEXPLB0406M,2016,A01,2016 Annual,61346
CXUTOTALEXPLB0406M,2017,A01,2017 Annual,64972
CXUTOTALEXPLB0406M,2018,A01,2018 Annual,66212
CXUTOTALEXPLB0406M,2019,A01,2019 Annual,69494
CXUTOTALEXPLB0406M,2020,A01,2020 Annual,64937
