Year,Period,Value
2000,Q01,9004
2000,Q02,8439
2000,Q03,8566
2000,Q04,8345
2001,Q01,8659
2001,Q02,7961
2001,Q03,7668
2001,Q04,7546
2002,Q01,8225
2002,Q02,7844
2002,Q03,7681
2002,Q04,7486
2003,Q01,7626
2003,Q02,7381
2003,Q03,7434
2003,Q04,7531
2004,Q01,7870
2004,Q02,7722
2004,Q03,7683
2004,Q04,7848
2005,Q01,7779
2005,Q02,7753
2005,Q03,8023
2005,Q04,7812
2006,Q01,7880
2006,Q02,7766
2006,Q03,7545
2006,Q04,7770
2007,Q01,7815
2007,Q02,7647
2007,Q03,7376
2007,Q04,7687
2008,Q01,7320
2008,Q02,7281
2008,Q03,6944
2008,Q04,6738
2009,Q01,5918
2009,Q02,6425
2009,Q03,6399
2009,Q04,6665
2010,Q01,6325
2010,Q02,6995
2010,Q03,6741
2010,Q04,7052
2011,Q01,6540
2011,Q02,6966
2011,Q03,7205
2011,Q04,6865
2012,Q01,7080
2012,Q02,7051
2012,Q03,6881
2012,Q04,7110
2013,Q01,6941
2013,Q02,7152
2013,Q03,7058
2013,Q04,7255
2014,Q01,6953
2014,Q02,7454
2014,Q03,7247
2014,Q04,7617
2015,Q01,7046
2015,Q02,7580
2015,Q03,7344
2015,Q04,7817
2016,Q01,7149
2016,Q02,7446
2016,Q03,7717
2016,Q04,7423
2017,Q01,7428
2017,Q02,7621
2017,Q03,7324
2017,Q04,7801
2018,Q01,7494
2018,Q02,7652
2018,Q03,7506
2018,Q04,7756
2019,Q01,7460
2019,Q02,7637
2019,Q03,7404
2019,Q04,7864
2020,Q01,6963
2020,Q02,5749
2020,Q03,10804
2020,Q04,8756
