DATE,PNRESCONS
01-01-2000,247213
01-02-2000,265200
01-03-2000,268020
01-04-2000,264832
01-05-2000,275989
01-06-2000,271873
01-07-2000,274805
01-08-2000,284502
01-09-2000,289543
01-10-2000,286731
01-11-2000,288986
01-12-2000,281975
01-01-2001,278005
01-02-2001,270735
01-03-2001,280450
01-04-2001,278653
01-05-2001,281069
01-06-2001,284499
01-07-2001,279200
01-08-2001,274690
01-09-2001,270320
01-10-2001,268404
01-11-2001,260359
01-12-2001,264194
01-01-2002,263731
01-02-2002,256668
01-03-2002,252252
01-04-2002,250341
01-05-2002,241636
01-06-2002,235344
01-07-2002,229426
01-08-2002,227442
01-09-2002,224568
01-10-2002,228572
01-11-2002,228716
01-12-2002,222509
01-01-2003,226819
01-02-2003,225646
01-03-2003,229653
01-04-2003,227092
01-05-2003,232573
01-06-2003,231498
01-07-2003,224707
01-08-2003,228595
01-09-2003,233700
01-10-2003,233121
01-11-2003,226077
01-12-2003,232151
01-01-2004,227349
01-02-2004,227051
01-03-2004,233056
01-04-2004,233437
01-05-2004,232956
01-06-2004,232519
01-07-2004,238888
01-08-2004,241348
01-09-2004,246868
01-10-2004,246581
01-11-2004,247029
01-12-2004,246725
01-01-2005,250158
01-02-2005,251796
01-03-2005,251961
01-04-2005,254161
01-05-2005,255438
01-06-2005,252025
01-07-2005,253900
01-08-2005,257599
01-09-2005,263183
01-10-2005,265451
01-11-2005,269373
01-12-2005,272395
01-01-2006,277343
01-02-2006,280283
01-03-2006,285365
01-04-2006,287651
01-05-2006,292927
01-06-2006,299334
01-07-2006,301402
01-08-2006,306563
01-09-2006,307094
01-10-2006,304567
01-11-2006,312164
01-12-2006,320162
01-01-2007,320249
01-02-2007,332339
01-03-2007,340354
01-04-2007,345178
01-05-2007,358048
01-06-2007,369495
01-07-2007,370632
01-08-2007,384672
01-09-2007,395532
01-10-2007,408729
01-11-2007,402136
01-12-2007,401961
01-01-2008,414958
01-02-2008,411129
01-03-2008,406437
01-04-2008,411413
01-05-2008,414316
01-06-2008,408045
01-07-2008,411470
01-08-2008,403794
01-09-2008,410624
01-10-2008,412323
01-11-2008,405596
01-12-2008,393186
01-01-2009,381677
01-02-2009,382404
01-03-2009,383667
01-04-2009,369627
01-05-2009,365757
01-06-2009,354227
01-07-2009,344704
01-08-2009,334891
01-09-2009,322235
01-10-2009,308583
01-11-2009,299917
01-12-2009,286479
01-01-2010,268992
01-02-2010,267569
01-03-2010,267614
01-04-2010,267185
01-05-2010,264485
01-06-2010,264369
01-07-2010,252883
01-08-2010,255187
01-09-2010,253420
01-10-2010,257733
01-11-2010,265154
01-12-2010,257397
01-01-2011,225709
01-02-2011,229621
01-03-2011,237178
01-04-2011,239923
01-05-2011,246937
01-06-2011,262949
01-07-2011,262747
01-08-2011,272384
01-09-2011,273972
01-10-2011,270982
01-11-2011,277776
01-12-2011,284011
01-01-2012,293950
01-02-2012,294111
01-03-2012,297053
01-04-2012,304401
01-05-2012,305582
01-06-2012,302591
01-07-2012,304534
01-08-2012,302812
01-09-2012,305507
01-10-2012,306335
01-11-2012,301430
01-12-2012,304580
01-01-2013,292746
01-02-2013,292424
01-03-2013,290250
01-04-2013,293188
01-05-2013,297883
01-06-2013,302661
01-07-2013,316339
01-08-2013,319524
01-09-2013,325461
01-10-2013,333928
01-11-2013,340714
01-12-2013,348710
01-01-2014,353903
01-02-2014,359437
01-03-2014,355615
01-04-2014,360049
01-05-2014,356841
01-06-2014,360030
01-07-2014,359951
01-08-2014,360732
01-09-2014,363100
01-10-2014,373536
01-11-2014,373100
01-12-2014,370648
01-01-2015,382055
01-02-2015,388502
01-03-2015,400451
01-04-2015,415016
01-05-2015,427500
01-06-2015,433395
01-07-2015,421865
01-08-2015,425883
01-09-2015,425801
01-10-2015,419386
01-11-2015,420334
01-12-2015,414654
01-01-2016,414134
01-02-2016,420458
01-03-2016,433085
01-04-2016,435537
01-05-2016,443754
01-06-2016,452349
01-07-2016,456046
01-08-2016,457364
01-09-2016,458953
01-10-2016,453716
01-11-2016,468705
01-12-2016,468739
01-01-2017,458822
01-02-2017,450355
01-03-2017,451060
01-04-2017,448588
01-05-2017,449812
01-06-2017,444462
01-07-2017,438535
01-08-2017,436401
01-09-2017,438373
01-10-2017,439387
01-11-2017,439051
01-12-2017,444967
01-01-2018,469639
01-02-2018,480699
01-03-2018,472716
01-04-2018,473172
01-05-2018,474349
01-06-2018,462564
01-07-2018,462554
01-08-2018,465457
01-09-2018,462496
01-10-2018,459209
01-11-2018,448823
01-12-2018,458495
01-01-2019,463513
01-02-2019,469400
01-03-2019,479943
01-04-2019,482738
01-05-2019,491227
01-06-2019,500180
01-07-2019,509511
01-08-2019,516778
01-09-2019,516755
01-10-2019,519535
01-11-2019,526675
01-12-2019,520012
01-01-2020,526954
01-02-2020,520487
01-03-2020,514802
01-04-2020,488521
01-05-2020,479172
01-06-2020,480422
01-07-2020,475021
01-08-2020,466127
01-09-2020,458779
01-10-2020,456022
01-11-2020,447290
01-12-2020,442157
