DATE,PSAVERT
01-01-2000,5
01-02-2000,4.5
01-03-2000,4.3
01-04-2000,4.8
01-05-2000,4.8
01-06-2000,4.8
01-07-2000,5.1
01-08-2000,5.2
01-09-2000,4.5
01-10-2000,4.8
01-11-2000,4.7
01-12-2000,4.4
01-01-2001,4.9
01-02-2001,5
01-03-2001,5.3
01-04-2001,5.1
01-05-2001,4.5
01-06-2001,4.4
01-07-2001,5.6
01-08-2001,6.6
01-09-2001,7
01-10-2001,3.1
01-11-2001,3.5
01-12-2001,3.8
01-01-2002,5.7
01-02-2002,5.5
01-03-2002,5.6
01-04-2002,5.5
01-05-2002,6.2
01-06-2002,6.2
01-07-2002,5.4
01-08-2002,5.4
01-09-2002,5.9
01-10-2002,5.8
01-11-2002,5.8
01-12-2002,5.4
01-01-2003,5.4
01-02-2003,5.3
01-03-2003,5
01-04-2003,5.1
01-05-2003,5.5
01-06-2003,5.3
01-07-2003,6.1
01-08-2003,5.9
01-09-2003,5.1
01-10-2003,5.3
01-11-2003,5.3
01-12-2003,5.2
01-01-2004,4.9
01-02-2004,4.9
01-03-2004,4.7
01-04-2004,5.1
01-05-2004,5.1
01-06-2004,5.6
01-07-2004,5
01-08-2004,5
01-09-2004,4.4
01-10-2004,4.3
01-11-2004,3.8
01-12-2004,6.6
01-01-2005,3.2
01-02-2005,2.9
01-03-2005,3.1
01-04-2005,2.7
01-05-2005,3.2
01-06-2005,2.6
01-07-2005,2.1
01-08-2005,2.6
01-09-2005,2.7
01-10-2005,2.9
01-11-2005,3.2
01-12-2005,3.1
01-01-2006,3.7
01-02-2006,3.9
01-03-2006,4.1
01-04-2006,3.8
01-05-2006,3.6
01-06-2006,3.7
01-07-2006,3.1
01-08-2006,3.3
01-09-2006,3.2
01-10-2006,3.2
01-11-2006,3.6
01-12-2006,3.5
01-01-2007,3.2
01-02-2007,3.6
01-03-2007,3.9
01-04-2007,3.8
01-05-2007,3.6
01-06-2007,3.5
01-07-2007,3.4
01-08-2007,3.1
01-09-2007,3.1
01-10-2007,3
01-11-2007,2.8
01-12-2007,3.2
01-01-2008,3.2
01-02-2008,3.6
01-03-2008,3.4
01-04-2008,2.9
01-05-2008,7.3
01-06-2008,5.1
01-07-2008,4
01-08-2008,3.5
01-09-2008,4.3
01-10-2008,5.2
01-11-2008,6.3
01-12-2008,6.2
01-01-2009,6.2
01-02-2009,5.6
01-03-2009,5.9
01-04-2009,6.6
01-05-2009,7.9
01-06-2009,6.2
01-07-2009,5.5
01-08-2009,4.5
01-09-2009,5.6
01-10-2009,5.2
01-11-2009,5.6
01-12-2009,5.6
01-01-2010,5.9
01-02-2010,5.6
01-03-2010,5.6
01-04-2010,6.2
01-05-2010,6.7
01-06-2010,6.5
01-07-2010,6.4
01-08-2010,6.5
01-09-2010,6.5
01-10-2010,6.3
01-11-2010,6.1
01-12-2010,6.5
01-01-2011,6.9
01-02-2011,7.2
01-03-2011,6.6
01-04-2011,6.6
01-05-2011,6.5
01-06-2011,6.7
01-07-2011,6.9
01-08-2011,6.9
01-09-2011,6.5
01-10-2011,6.5
01-11-2011,6.6
01-12-2011,7.5
01-01-2012,7.8
01-02-2012,7.8
01-03-2012,8.2
01-04-2012,8.5
01-05-2012,8.6
01-06-2012,8.6
01-07-2012,7.8
01-08-2012,7.6
01-09-2012,8.1
01-10-2012,8.7
01-11-2012,9.5
01-12-2012,11.6
01-01-2013,5.9
01-02-2013,5.6
01-03-2013,5.9
01-04-2013,6.2
01-05-2013,6.4
01-06-2013,6.5
01-07-2013,6.3
01-08-2013,6.4
01-09-2013,6.5
01-10-2013,6
01-11-2013,5.8
01-12-2013,6
01-01-2014,6.7
01-02-2014,6.6
01-03-2014,6.7
01-04-2014,6.9
01-05-2014,7.1
01-06-2014,7.1
01-07-2014,7.2
01-08-2014,7
01-09-2014,7.2
01-10-2014,7.1
01-11-2014,7.3
01-12-2014,7.7
01-01-2015,8
01-02-2015,8.1
01-03-2015,7.7
01-04-2015,7.6
01-05-2015,7.5
01-06-2015,7.4
01-07-2015,7.3
01-08-2015,7.3
01-09-2015,7.4
01-10-2015,7.5
01-11-2015,7.3
01-12-2015,7.4
01-01-2016,7.7
01-02-2016,7.2
01-03-2016,7.6
01-04-2016,7.2
01-05-2016,6.9
01-06-2016,6.6
01-07-2016,6.8
01-08-2016,6.8
01-09-2016,6.8
01-10-2016,6.9
01-11-2016,7
01-12-2016,6.5
01-01-2017,6.9
01-02-2017,7.2
01-03-2017,7.2
01-04-2017,7.2
01-05-2017,7.8
01-06-2017,7.5
01-07-2017,7.6
01-08-2017,7.6
01-09-2017,7.3
01-10-2017,7.4
01-11-2017,7
01-12-2017,6.6
01-01-2018,7.4
01-02-2018,7.6
01-03-2018,7.6
01-04-2018,7.4
01-05-2018,7.5
01-06-2018,7.6
01-07-2018,7.6
01-08-2018,7.6
01-09-2018,7.6
01-10-2018,7.4
01-11-2018,7.2
01-12-2018,9
01-01-2019,8.7
01-02-2019,8.8
01-03-2019,8.2
01-04-2019,7.7
01-05-2019,7.4
01-06-2019,7.2
01-07-2019,7
01-08-2019,7.2
01-09-2019,7.3
01-10-2019,7.4
01-11-2019,7.5
01-12-2019,7.3
01-01-2020,7.8
01-02-2020,8.3
01-03-2020,13.1
01-04-2020,33.8
01-05-2020,24.8
01-06-2020,19.3
01-07-2020,18.7
01-08-2020,15
01-09-2020,14.3
01-10-2020,13.6
01-11-2020,13
01-12-2020,14
01-01-2021,19.9
01-02-2021,13.5
01-03-2021,26.6
01-04-2021,12.4
01-05-2021,10
01-06-2021,9
01-07-2021,10.1
01-08-2021,9.4
