DATE,ERNTOCCUSQ176N
2000-04-01,33522
2000-07-01,33201
2000-10-01,33635
2001-01-01,33552
2001-04-01,33430
2001-07-01,33223
2001-10-01,33468
2002-01-01,33707
2002-04-01,34119
2002-07-01,33813
2002-10-01,33572
2003-01-01,33917
2003-04-01,33901
2003-07-01,33503
2003-10-01,33414
2004-01-01,33479
2004-04-01,32913
2004-07-01,33429
2004-10-01,33502
2005-01-01,33612
2005-04-01,34260
2005-07-01,34256
2005-10-01,34162
2006-01-01,34757
2006-04-01,34588
2006-07-01,34359
2006-10-01,34552
2007-01-01,35031
2007-04-01,35390
2007-07-01,35436
2007-10-01,36003
2008-01-01,35859
2008-04-01,35650
2008-07-01,35920
2008-10-01,36358
2009-01-01,36610
2009-04-01,36644
2009-07-01,36439
2009-10-01,36948
2010-01-01,37020
2010-04-01,37309
2010-07-01,37409
2010-10-01,38029
2011-01-01,38021
2011-04-01,38687
2011-07-01,38303
2011-10-01,38778
2012-01-01,39530
2012-04-01,39377
2012-07-01,39634
2012-10-01,39854
2013-01-01,40178
2013-04-01,40337
2013-07-01,40097
2013-10-01,40284
2014-01-01,40636
2014-04-01,40976
2014-07-01,41407
2014-10-01,42416
2015-01-01,42631
2015-04-01,43029
2015-07-01,42770
2015-10-01,42758
2016-01-01,43047
2016-04-01,44045
2016-07-01,43451
2016-10-01,43251
2017-01-01,43475
2017-04-01,43383
2017-07-01,43150
2017-10-01,43230
2018-01-01,43249
2018-04-01,43289
2018-07-01,43225
2018-10-01,43079
2019-01-01,43723
2019-04-01,43887
2019-07-01,43196
2019-10-01,43233
2020-01-01,43094
2020-04-01,40718
2020-07-01,41233
2020-10-01,42971
2021-01-01,43366
2021-04-01,43644
