DATE,MRTSSM442USS
2000-01-01,7484
2000-02-01,7548
2000-03-01,7599
2000-04-01,7729
2000-05-01,7673
2000-06-01,7593
2000-07-01,7748
2000-08-01,7682
2000-09-01,7665
2000-10-01,7737
2000-11-01,7580
2000-12-01,7160
2001-01-01,7764
2001-02-01,7611
2001-03-01,7549
2001-04-01,7560
2001-05-01,7559
2001-06-01,7613
2001-07-01,7671
2001-08-01,7628
2001-09-01,7419
2001-10-01,7543
2001-11-01,7694
2001-12-01,7869
2002-01-01,7847
2002-02-01,7932
2002-03-01,7936
2002-04-01,7874
2002-05-01,7959
2002-06-01,7831
2002-07-01,7741
2002-08-01,7837
2002-09-01,7832
2002-10-01,7789
2002-11-01,7963
2002-12-01,7927
2003-01-01,7824
2003-02-01,7501
2003-03-01,7854
2003-04-01,7895
2003-05-01,8062
2003-06-01,8084
2003-07-01,8115
2003-08-01,8156
2003-09-01,8214
2003-10-01,8244
2003-11-01,8358
2003-12-01,8312
2004-01-01,8307
2004-02-01,8375
2004-03-01,8585
2004-04-01,8519
2004-05-01,8389
2004-06-01,8572
2004-07-01,8868
2004-08-01,8675
2004-09-01,8604
2004-10-01,8806
2004-11-01,8722
2004-12-01,8905
2005-01-01,8856
2005-02-01,8908
2005-03-01,8840
2005-04-01,8994
2005-05-01,8963
2005-06-01,9093
2005-07-01,9084
2005-08-01,9193
2005-09-01,9244
2005-10-01,9315
2005-11-01,9319
2005-12-01,9260
2006-01-01,9561
2006-02-01,9439
2006-03-01,9431
2006-04-01,9402
2006-05-01,9368
2006-06-01,9485
2006-07-01,9442
2006-08-01,9422
2006-09-01,9549
2006-10-01,9375
2006-11-01,9311
2006-12-01,9334
2007-01-01,9609
2007-02-01,9369
2007-03-01,9406
2007-04-01,9430
2007-05-01,9331
2007-06-01,9264
2007-07-01,9315
2007-08-01,9300
2007-09-01,9141
2007-10-01,9142
2007-11-01,9094
2007-12-01,9009
2008-01-01,8873
2008-02-01,8594
2008-03-01,8631
2008-04-01,8606
2008-05-01,8587
2008-06-01,8473
2008-07-01,8369
2008-08-01,8154
2008-09-01,7722
2008-10-01,7735
2008-11-01,7640
2008-12-01,7460
2009-01-01,7363
2009-02-01,7285
2009-03-01,7041
2009-04-01,7067
2009-05-01,7087
2009-06-01,7092
2009-07-01,7039
2009-08-01,6991
2009-09-01,6981
2009-10-01,6915
2009-11-01,6991
2009-12-01,7024
2010-01-01,7011
2010-02-01,7131
2010-03-01,7228
2010-04-01,7121
2010-05-01,7117
2010-06-01,7072
2010-07-01,7094
2010-08-01,7130
2010-09-01,7108
2010-10-01,7039
2010-11-01,7098
2010-12-01,7068
2011-01-01,6992
2011-02-01,7145
2011-03-01,7404
2011-04-01,7313
2011-05-01,7245
2011-06-01,7227
2011-07-01,7263
2011-08-01,7333
2011-09-01,7384
2011-10-01,7303
2011-11-01,7378
2011-12-01,7537
2012-01-01,7646
2012-02-01,7627
2012-03-01,7587
2012-04-01,7502
2012-05-01,7652
2012-06-01,7544
2012-07-01,7650
2012-08-01,7593
2012-09-01,7614
2012-10-01,7416
2012-11-01,7620
2012-12-01,7972
2013-01-01,7912
2013-02-01,7863
2013-03-01,7867
2013-04-01,7834
2013-05-01,7759
2013-06-01,7986
2013-07-01,7973
2013-08-01,8022
2013-09-01,8084
2013-10-01,8191
2013-11-01,8236
2013-12-01,7988
2014-01-01,7808
2014-02-01,8111
2014-03-01,8254
2014-04-01,8366
2014-05-01,8347
2014-06-01,8369
2014-07-01,8380
2014-08-01,8517
2014-09-01,8442
2014-10-01,8484
2014-11-01,8577
2014-12-01,8739
2015-01-01,8688
2015-02-01,8501
2015-03-01,8759
2015-04-01,8882
2015-05-01,9066
2015-06-01,8903
2015-07-01,9064
2015-08-01,9086
2015-09-01,9045
2015-10-01,9162
2015-11-01,9152
2015-12-01,9361
2016-01-01,9239
2016-02-01,9277
2016-03-01,9236
2016-04-01,9203
2016-05-01,9278
2016-06-01,9422
2016-07-01,9350
2016-08-01,9333
2016-09-01,9487
2016-10-01,9391
2016-11-01,9358
2016-12-01,9297
2017-01-01,9499
2017-02-01,9498
2017-03-01,9576
2017-04-01,9434
2017-05-01,9507
2017-06-01,9570
2017-07-01,9529
2017-08-01,9601
2017-09-01,9496
2017-10-01,9804
2017-11-01,9937
2017-12-01,9960
2018-01-01,9875
2018-02-01,9910
2018-03-01,9937
2018-04-01,10113
2018-05-01,9974
2018-06-01,9971
2018-07-01,10006
2018-08-01,9885
2018-09-01,9818
2018-10-01,9907
2018-11-01,9917
2018-12-01,9884
2019-01-01,9787
2019-02-01,9862
2019-03-01,10008
2019-04-01,10073
2019-05-01,10074
2019-06-01,10071
2019-07-01,10067
2019-08-01,10082
2019-09-01,10177
2019-10-01,10120
2019-11-01,10219
2019-12-01,9990
2020-01-01,10475
2020-02-01,10456
2020-03-01,8225
2020-04-01,4160
2020-05-01,7349
2020-06-01,10104
2020-07-01,10346
2020-08-01,10812
2020-09-01,10843
2020-10-01,10864
2020-11-01,10705
2020-12-01,10621
2021-01-01,12098
2021-02-01,11471
2021-03-01,12414
2021-04-01,12551
2021-05-01,12286
2021-06-01,12093
2021-07-01,12055
2021-08-01,12273
