DATE,CSUSHPISA
1987-01-01,63.964
1987-02-01,64.423
1987-03-01,64.734
1987-04-01,65.132
1987-05-01,65.566
1987-06-01,66.07300000000001
1987-07-01,66.507
1987-08-01,66.936
1987-09-01,67.328
1987-10-01,67.737
1987-11-01,68.10600000000001
1987-12-01,68.505
1988-01-01,68.858
1988-02-01,69.262
1988-03-01,69.63600000000001
1988-04-01,69.973
1988-05-01,70.42399999999999
1988-06-01,70.887
1988-07-01,71.35300000000001
1988-08-01,71.79899999999999
1988-09-01,72.241
1988-10-01,72.63600000000001
1988-11-01,73.07300000000001
1988-12-01,73.465
1989-01-01,73.946
1989-02-01,74.382
1989-03-01,74.778
1989-04-01,75.084
1989-05-01,75.307
1989-06-01,75.48
1989-07-01,75.657
1989-08-01,75.835
1989-09-01,76.057
1989-10-01,76.285
1989-11-01,76.523
1989-12-01,76.706
1990-01-01,76.89699999999999
1990-02-01,77.053
1990-03-01,77.2
1990-04-01,77.277
1990-05-01,77.296
1990-06-01,77.257
1990-07-01,77.137
1990-08-01,77.007
1990-09-01,76.848
1990-10-01,76.699
1990-11-01,76.369
1990-12-01,76.183
1991-01-01,75.914
1991-02-01,75.733
1991-03-01,75.57
1991-04-01,75.565
1991-05-01,75.765
1991-06-01,75.992
1991-07-01,76.08
1991-08-01,76.109
1991-09-01,76.194
1991-10-01,76.071
1991-11-01,76.014
1991-12-01,76.056
1992-01-01,76.08800000000001
1992-02-01,76.158
1992-03-01,76.279
1992-04-01,76.347
1992-05-01,76.4
1992-06-01,76.334
1992-07-01,76.266
1992-08-01,76.233
1992-09-01,76.241
1992-10-01,76.37899999999999
1992-11-01,76.561
1992-12-01,76.676
1993-01-01,76.786
1993-02-01,76.839
1993-03-01,76.87
1993-04-01,76.938
1993-05-01,77.039
1993-06-01,77.245
1993-07-01,77.431
1993-08-01,77.615
1993-09-01,77.797
1993-10-01,77.944
1993-11-01,78.15100000000001
1993-12-01,78.328
1994-01-01,78.593
1994-02-01,78.729
1994-03-01,78.859
1994-04-01,78.99
1994-05-01,79.225
1994-06-01,79.425
1994-07-01,79.597
1994-08-01,79.78399999999999
1994-09-01,79.922
1994-10-01,80.068
1994-11-01,80.152
1994-12-01,80.298
1995-01-01,80.429
1995-02-01,80.531
1995-03-01,80.601
1995-04-01,80.664
1995-05-01,80.707
1995-06-01,80.788
1995-07-01,80.941
1995-08-01,81.113
1995-09-01,81.309
1995-10-01,81.485
1995-11-01,81.622
1995-12-01,81.74
1996-01-01,81.837
1996-02-01,81.956
1996-03-01,82.197
1996-04-01,82.42399999999999
1996-05-01,82.61200000000001
1996-06-01,82.755
1996-07-01,82.932
1996-08-01,83.09
1996-09-01,83.26
1996-10-01,83.381
1996-11-01,83.556
1996-12-01,83.725
1997-01-01,83.959
1997-02-01,84.184
1997-03-01,84.455
1997-04-01,84.626
1997-05-01,84.86399999999999
1997-06-01,85.083
1997-07-01,85.334
1997-08-01,85.57600000000001
1997-09-01,85.853
1997-10-01,86.149
1997-11-01,86.634
1997-12-01,87.096
1998-01-01,87.618
1998-02-01,88.007
1998-03-01,88.446
1998-04-01,88.882
1998-05-01,89.367
1998-06-01,89.84700000000001
1998-07-01,90.31299999999999
1998-08-01,90.789
1998-09-01,91.262
1998-10-01,91.721
1998-11-01,92.20299999999999
1998-12-01,92.715
1999-01-01,93.211
1999-02-01,93.67399999999999
1999-03-01,94.22
1999-04-01,94.788
1999-05-01,95.348
1999-06-01,95.979
1999-07-01,96.596
1999-08-01,97.223
1999-09-01,97.867
1999-10-01,98.52799999999999
1999-11-01,99.16
1999-12-01,99.85
2000-01-01,100.552
2000-02-01,101.339
2000-03-01,102.12700000000001
2000-04-01,102.92200000000001
2000-05-01,103.677
2000-06-01,104.42399999999999
2000-07-01,105.054
2000-08-01,105.76799999999999
2000-09-01,106.537
2000-10-01,107.381
2000-11-01,108.29899999999999
2000-12-01,109.13799999999999
2001-01-01,109.845
2001-02-01,110.499
2001-03-01,111.10700000000001
2001-04-01,111.65
2001-05-01,112.162
2001-06-01,112.795
2001-07-01,113.491
2001-08-01,114.167
2001-09-01,114.811
2001-10-01,115.30799999999999
2001-11-01,115.854
2001-12-01,116.45200000000001
2002-01-01,117.14299999999999
2002-02-01,117.845
2002-03-01,118.68799999999999
2002-04-01,119.611
2002-05-01,120.72399999999999
2002-06-01,121.81200000000001
2002-07-01,122.88600000000001
2002-08-01,123.829
2002-09-01,124.77799999999999
2002-10-01,125.73299999999999
2002-11-01,126.66799999999999
2002-12-01,127.62200000000001
2003-01-01,128.46
2003-02-01,129.355
2003-03-01,130.148
2003-04-01,130.885
2003-05-01,131.735
2003-06-01,132.649
2003-07-01,133.776
2003-08-01,134.967
2003-09-01,136.29399999999998
2003-10-01,137.531
2003-11-01,138.79399999999998
2003-12-01,140.18
2004-01-01,141.64700000000002
