DATE,MORTGAGE30US
2001-01,7.0325
2001-02,7.05
2001-03,6.952
2001-04,7.0775
2001-05,7.145
2001-06,7.159999999999999
2001-07,7.1275
2001-08,6.95
2001-09,6.8175
2001-10,6.6175
2001-11,6.6579999999999995
2001-12,7.0649999999999995
2002-01,6.9975
2002-02,6.8925
2002-03,7.014
2002-04,6.985
2002-05,6.806
2002-06,6.65
2002-07,6.485
2002-08,6.29
2002-09,6.0925
2002-10,6.1125
2002-11,6.068
2002-12,6.0475
2003-01,5.9159999999999995
2003-02,5.8425
2003-03,5.745
2003-04,5.8125
2003-05,5.484
2003-06,5.23
2003-07,5.6325
2003-08,6.264
2003-09,6.1475
2003-10,5.952
2003-11,5.9325
2003-12,5.8759999999999994
2004-01,5.7125
2004-02,5.635
2004-03,5.445
2004-04,5.83
2004-05,6.27
2004-06,6.2875
2004-07,6.056
2004-08,5.8675
2004-09,5.754
2004-10,5.7225
2004-11,5.73
2004-12,5.752
2005-01,5.71
2005-02,5.6275
2005-03,5.928
2005-04,5.855
2005-05,5.72
2005-06,5.582
2005-07,5.695
2005-08,5.82
2005-09,5.774
2005-10,6.065
2005-11,6.33
2005-12,6.272
2006-01,6.145
2006-02,6.2525
2006-03,6.324
2006-04,6.5075
2006-05,6.5975
2006-06,6.6819999999999995
2006-07,6.7625
2006-08,6.523999999999999
2006-09,6.4025
2006-10,6.3575
2006-11,6.24
2006-12,6.135
2007-01,6.2175
2007-02,6.285
2007-03,6.156000000000001
2007-04,6.18
2007-05,6.2620000000000005
2007-06,6.657500000000001
2007-07,6.695
2007-08,6.572
2007-09,6.3825
2007-10,6.375
2007-11,6.208
2007-12,6.095
2008-01,5.758
2008-02,5.9175
2008-03,5.97
2008-04,5.9175
2008-05,6.036
2008-06,6.32
2008-07,6.425999999999999
2008-08,6.4775
2008-09,6.0375
2008-10,6.2
2008-11,6.0875
2008-12,5.286
2009-01,5.047499999999999
2009-02,5.13
2009-03,5.0025
2009-04,4.8100000000000005
2009-05,4.8575
2009-06,5.42
2009-07,5.2219999999999995
2009-08,5.1925
2009-09,5.0575
2009-10,4.952
2009-11,4.875
2009-12,4.93
2010-01,5.03
2010-02,4.99
2010-03,4.9675
2010-04,5.098000000000001
2010-05,4.8875
2010-06,4.7375
2010-07,4.564
2010-08,4.4275
2010-09,4.346
2010-10,4.225
2010-11,4.3
2010-12,4.714
2011-01,4.755
2011-02,4.9525
2011-03,4.836
2011-04,4.84
2011-05,4.6375
2011-06,4.51
2011-07,4.545
2011-08,4.27
2011-09,4.106
2011-10,4.0675
2011-11,3.9925
2011-12,3.9579999999999997
2012-01,3.915
2012-02,3.89
2012-03,3.9539999999999997
2012-04,3.91
2012-05,3.7979999999999996
2012-06,3.675
2012-07,3.55
2012-08,3.6019999999999994
2012-09,3.4975
2012-10,3.3825000000000003
2012-11,3.3519999999999994
2012-12,3.3449999999999998
2013-01,3.414
2013-02,3.5324999999999998
2013-03,3.565
2013-04,3.4450000000000003
2013-05,3.536
2013-06,4.07
2013-07,4.37
2013-08,4.456
2013-09,4.49
2013-10,4.192
2013-11,4.255
2013-12,4.4575
2014-01,4.432
2014-02,4.3025
2014-03,4.3425
2014-04,4.3375
2014-05,4.192
2014-06,4.1625
2014-07,4.13
2014-08,4.115
2014-09,4.1625
2014-10,4.036
2014-11,3.9975
2014-12,3.864
2015-01,3.67
2015-02,3.71
2015-03,3.77
2015-04,3.6719999999999997
2015-05,3.84
2015-06,3.9825
2015-07,4.046
2015-08,3.9050000000000002
2015-09,3.89
2015-10,3.7960000000000003
2015-11,3.9425
2015-12,3.964
2016-01,3.8725
2016-02,3.66
2016-03,3.694
2016-04,3.605
2016-05,3.6
2016-06,3.568
2016-07,3.44
2016-08,3.435
2016-09,3.46
2016-10,3.47
2016-11,3.77
2016-12,4.198
2017-01,4.15
2017-02,4.1675
2017-03,4.196
2017-04,4.045
2017-05,4.01
2017-06,3.904
2017-07,3.9675000000000002
2017-08,3.88
2017-09,3.8049999999999997
2017-10,3.895
2017-11,3.9219999999999997
2017-12,3.95
2018-01,4.032500000000001
2018-02,4.33
2018-03,4.444
2018-04,4.4675
2018-05,4.586
2018-06,4.57
2018-07,4.5275
2018-08,4.55
2018-09,4.6274999999999995
2018-10,4.83
2018-11,4.866
2018-12,4.6375
2019-01,4.464
2019-02,4.37
2019-03,4.265
2019-04,4.1425
2019-05,4.072
2019-06,3.8024999999999998
2019-07,3.765
2019-08,3.6159999999999997
2019-09,3.605
2019-10,3.6879999999999997
2019-11,3.6950000000000003
2019-12,3.72
2020-01,3.624
2020-02,3.4650000000000003
2020-03,3.45
2020-04,3.306
2020-05,3.2325
2020-06,3.1625
2020-07,3.016
2020-08,2.935
2020-09,2.89
2020-10,2.834
2020-11,2.765
2020-12,2.684
