DATE,permits
2001-01,1699
2001-02,1656
2001-03,1659
2001-04,1666
2001-05,1665
2001-06,1626
2001-07,1598
2001-08,1615
2001-09,1565
2001-10,1566
2001-11,1651
2001-12,1680
2002-01,1665
2002-02,1787
2002-03,1691
2002-04,1669
2002-05,1716
2002-06,1758
2002-07,1738
2002-08,1695
2002-09,1803
2002-10,1799
2002-11,1771
2002-12,1896
2003-01,1808
2003-02,1854
2003-03,1757
2003-04,1803
2003-05,1835
2003-06,1875
2003-07,1885
2003-08,1966
2003-09,1961
2003-10,2012
2003-11,1918
2003-12,1987
2004-01,1952
2004-02,1966
2004-03,2066
2004-04,2070
2004-05,2150
2004-06,2020
2004-07,2112
2004-08,2056
2004-09,2041
2004-10,2097
2004-11,2079
2004-12,2082
2005-01,2139
2005-02,2114
2005-03,2062
2005-04,2150
2005-05,2085
2005-06,2178
2005-07,2203
2005-08,2219
2005-09,2263
2005-10,2170
2005-11,2218
2005-12,2120
2006-01,2212
2006-02,2141
2006-03,2118
2006-04,1998
2006-05,1905
2006-06,1867
2006-07,1763
2006-08,1722
2006-09,1655
2006-10,1570
2006-11,1535
2006-12,1638
2007-01,1626
2007-02,1598
2007-03,1596
2007-04,1470
2007-05,1493
2007-06,1407
2007-07,1361
2007-08,1321
2007-09,1261
2007-10,1192
2007-11,1224
2007-12,1149
2008-01,1094
2008-02,1014
2008-03,967
2008-04,1008
2008-05,995
2008-06,1180
2008-07,921
2008-08,858
2008-09,797
2008-10,736
2008-11,626
2008-12,554
2009-01,545
2009-02,558
2009-03,513
2009-04,521
2009-05,556
2009-06,601
2009-07,595
2009-08,616
2009-09,609
2009-10,583
2009-11,623
2009-12,664
2010-01,636
2010-02,650
2010-03,687
2010-04,637
2010-05,575
2010-06,587
2010-07,579
2010-08,580
2010-09,563
2010-10,558
2010-11,560
2010-12,632
2011-01,576
2011-02,542
2011-03,583
2011-04,581
2011-05,618
2011-06,636
2011-07,621
2011-08,647
2011-09,610
2011-10,671
2011-11,706
2011-12,697
2012-01,712
2012-02,738
2012-03,806
2012-04,732
2012-05,796
2012-06,794
2012-07,849
2012-08,840
2012-09,930
2012-10,887
2012-11,917
2012-12,941
2013-01,940
2013-02,980
2013-03,936
2013-04,1012
2013-05,1003
2013-06,942
2013-07,997
2013-08,964
2013-09,1004
2013-10,1044
2013-11,1029
2013-12,1005
2014-01,976
2014-02,1039
2014-03,1067
2014-04,1090
2014-05,1018
2014-06,1010
2014-07,1076
2014-08,1047
2014-09,1077
2014-10,1094
2014-11,1059
2014-12,1072
2015-01,1049
2015-02,1127
2015-03,1072
2015-04,1166
2015-05,1272
2015-06,1379
2015-07,1140
2015-08,1165
2015-09,1144
2015-10,1160
2015-11,1244
2015-12,1212
2016-01,1161
2016-02,1187
2016-03,1114
2016-04,1158
2016-05,1196
2016-06,1208
2016-07,1190
2016-08,1205
2016-09,1280
2016-10,1278
2016-11,1236
2016-12,1252
2017-01,1301
2017-02,1240
2017-03,1285
2017-04,1258
2017-05,1209
2017-06,1329
2017-07,1264
2017-08,1314
2017-09,1257
2017-10,1346
2017-11,1302
2017-12,1309
2018-01,1352
2018-02,1332
2018-03,1407
2018-04,1391
2018-05,1331
2018-06,1320
2018-07,1328
2018-08,1264
2018-09,1289
2018-10,1275
2018-11,1318
2018-12,1338
2019-01,1295
2019-02,1304
2019-03,1316
2019-04,1337
2019-05,1337
2019-06,1276
2019-07,1369
2019-08,1479
2019-09,1439
2019-10,1509
2019-11,1509
2019-12,1453
2020-01,1550
2020-02,1478
2020-03,1382
2020-04,1094
2020-05,1246
2020-06,1296
2020-07,1542
2020-08,1522
2020-09,1589
2020-10,1595
2020-11,1696
2020-12,1758
