,population
2001-01,284169.0
2001-02,284392.0
2001-03,284615.0
2001-04,284838.0
2001-05,285086.67
2001-06,285335.34
2001-07,285584.0
2001-08,285826.33
2001-09,286068.66
2001-10,286311.0
2001-11,286519.0
2001-12,286727.0
2002-01,286935.0
2002-02,287148.0
2002-03,287361.0
2002-04,287574.0
2002-05,287817.0
2002-06,288060.0
2002-07,288303.0
2002-08,288537.67
2002-09,288772.34
2002-10,289007.0
2002-11,289207.67
2002-12,289408.34
2003-01,289609.0
2003-02,289823.67
2003-03,290038.34
2003-04,290253.0
2003-05,290493.33
2003-06,290733.66
2003-07,290974.0
2003-08,291205.67
2003-09,291437.34
2003-10,291669.0
2003-11,291858.33
2003-12,292047.66
2004-01,292237.0
2004-02,292449.67
2004-03,292662.34
2004-04,292875.0
2004-05,293117.67
2004-06,293360.34
2004-07,293603.0
2004-08,293846.67
2004-09,294090.34
2004-10,294334.0
2004-11,294541.67
2004-12,294749.34
2005-01,294957.0
2005-02,295167.33
2005-03,295377.66
2005-04,295588.0
2005-05,295838.67
2005-06,296089.34
2005-07,296340.0
2005-08,296588.67
2005-09,296837.34
2005-10,297086.0
2005-11,297302.67
2005-12,297519.34
2006-01,297736.0
2006-02,297960.0
2006-03,298184.0
2006-04,298408.0
2006-05,298665.33
2006-06,298922.66
2006-07,299180.0
2006-08,299435.33
2006-09,299690.66
2006-10,299946.0
2006-11,300167.0
2006-12,300388.0
2007-01,300609.0
2007-02,300834.0
2007-03,301059.0
2007-04,301284.0
2007-05,301543.33
2007-06,301802.66
2007-07,302062.0
2007-08,302317.67
2007-09,302573.34
2007-10,302829.0
2007-11,303050.67
2007-12,303272.34
2008-01,303494.0
2008-02,303716.0
2008-03,303938.0
2008-04,304160.0
2008-05,304407.33
2008-06,304654.66
2008-07,304902.0
2008-08,305140.0
2008-09,305378.0
2008-10,305616.0
2008-11,305823.0
2008-12,306030.0
2009-01,306237.0
2009-02,306446.67
2009-03,306656.34
2009-04,306866.0
2009-05,307101.67
2009-06,307337.34
2009-07,307573.0
2009-08,307810.33
2009-09,308047.66
2009-10,308285.0
2009-11,308490.33
2009-12,308695.66
2010-01,308901.0
2010-02,309087.33
2010-03,309273.66
2010-04,309460.0
2010-05,309660.67
2010-06,309861.34
2010-07,310062.0
2010-08,310266.33
2010-09,310470.66
2010-10,310675.0
2010-11,310842.0
2010-12,311009.0
2011-01,311176.0
2011-02,311345.33
2011-03,311514.66
2011-04,311684.0
2011-05,311887.0
2011-06,312090.0
2011-07,312293.0
2011-08,312491.0
2011-09,312689.0
2011-10,312887.0
2011-11,313053.0
2011-12,313219.0
2012-01,313385.0
2012-02,313552.67
2012-03,313720.34
2012-04,313888.0
2012-05,314088.0
2012-06,314288.0
2012-07,314488.0
2012-08,314687.0
2012-09,314886.0
2012-10,315085.0
2012-11,315236.33
2012-12,315387.66
2013-01,315539.0
2013-02,315699.33
2013-03,315859.66
2013-04,316020.0
2013-05,316222.0
2013-06,316424.0
2013-07,316626.0
2013-08,316832.0
2013-09,317038.0
2013-10,317244.0
2013-11,317416.0
2013-12,317588.0
2014-01,317760.0
2014-02,317935.67
2014-03,318111.34
2014-04,318287.0
2014-05,318498.33
2014-06,318709.66
2014-07,318921.0
2014-08,319133.0
2014-09,319345.0
2014-10,319557.0
2014-11,319724.0
2014-12,319891.0
2015-01,320058.0
2015-02,320231.33
2015-03,320404.66
2015-04,320578.0
2015-05,320787.0
2015-06,320996.0
2015-07,321205.0
2015-08,321413.67
2015-09,321622.34
2015-10,321831.0
2015-11,322005.33
2015-12,322179.66
2016-01,322354.0
2016-02,322526.33
2016-03,322698.66
2016-04,322871.0
2016-05,323071.67
2016-06,323272.34
2016-07,323473.0
2016-08,323664.67
2016-09,323856.34
2016-10,324048.0
2016-11,324197.33
2016-12,324346.66
2017-01,324496.0
2017-02,324646.67
2017-03,324797.34
2017-04,324948.0
2017-05,325123.67
2017-06,325299.34
2017-07,325475.0
2017-08,325637.67
2017-09,325800.34
2017-10,325963.0
2017-11,326083.67
2017-12,326204.34
2018-01,326325.0
2018-02,326451.0
2018-03,326577.0
2018-04,326703.0
2018-05,326857.67
2018-06,327012.34
2018-07,327167.0
2018-08,327312.0
2018-09,327457.0
2018-10,327602.0
2018-11,327709.0
2018-12,327816.0
2019-01,327923.0
2019-02,328038.67
2019-03,328154.34
2019-04,328270.0
2019-05,328423.33
2019-06,328576.66
2019-07,328730.0
2019-08,328882.0
2019-09,329034.0
2019-10,329186.0
2019-11,329300.33
2019-12,329414.66
2020-01,329529.0
2020-02,329652.0
2020-03,329775.0
2020-04,329898.0
2020-05,330054.67
2020-06,330211.34
2020-07,330368.0
2020-08,330517.0
2020-09,330666.0
2020-10,330815.0
2020-11,330880.33
2020-12,330945.66
