,avg_expenditure_25_34
2001-01,38987.0
2001-02,39029.0
2001-03,39071.0
2001-04,39113.0
2001-05,39155.0
2001-06,39197.0
2001-07,39239.0
2001-08,39281.0
2001-09,39323.0
2001-10,39365.0
2001-11,39407.0
2001-12,39449.0
2002-01,39523.0
2002-02,39595.0
2002-03,39667.0
2002-04,39739.0
2002-05,39811.0
2002-06,39883.0
2002-07,39955.0
2002-08,40027.0
2002-09,40099.0
2002-10,40171.0
2002-11,40243.0
2002-12,40315.0
2003-01,40335.0
2003-02,40352.0
2003-03,40369.0
2003-04,40386.0
2003-05,40403.0
2003-06,40420.0
2003-07,40437.0
2003-08,40454.0
2003-09,40471.0
2003-10,40488.0
2003-11,40505.0
2003-12,40522.0
2004-01,40706.0
2004-02,40887.0
2004-03,41068.0
2004-04,41249.0
2004-05,41430.0
2004-06,41611.0
2004-07,41792.0
2004-08,41973.0
2004-09,42154.0
2004-10,42335.0
2004-11,42516.0
2004-12,42697.0
2005-01,42898.0
2005-02,43095.0
2005-03,43292.0
2005-04,43489.0
2005-05,43686.0
2005-06,43883.0
2005-07,44080.0
2005-08,44277.0
2005-09,44474.0
2005-10,44671.0
2005-11,44868.0
2005-12,45065.0
2006-01,45278.0
2006-02,45488.0
2006-03,45698.0
2006-04,45908.0
2006-05,46118.0
2006-06,46328.0
2006-07,46538.0
2006-08,46748.0
2006-09,46958.0
2006-10,47168.0
2006-11,47378.0
2006-12,47588.0
2007-01,47576.0
2007-02,47570.0
2007-03,47564.0
2007-04,47558.0
2007-05,47552.0
2007-06,47546.0
2007-07,47540.0
2007-08,47534.0
2007-09,47528.0
2007-10,47522.0
2007-11,47516.0
2007-12,47510.0
2008-01,47564.0
2008-02,47618.0
2008-03,47672.0
2008-04,47726.0
2008-05,47780.0
2008-06,47834.0
2008-07,47888.0
2008-08,47942.0
2008-09,47996.0
2008-10,48050.0
2008-11,48104.0
2008-12,48158.0
2009-01,48020.0
2009-02,47881.0
2009-03,47742.0
2009-04,47603.0
2009-05,47464.0
2009-06,47325.0
2009-07,47186.0
2009-08,47047.0
2009-09,46908.0
2009-10,46769.0
2009-11,46630.0
2009-12,46491.0
2010-01,46504.0
2010-02,46514.0
2010-03,46524.0
2010-04,46534.0
2010-05,46544.0
2010-06,46554.0
2010-07,46564.0
2010-08,46574.0
2010-09,46584.0
2010-10,46594.0
2010-11,46604.0
2010-12,46614.0
2011-01,46740.0
2011-02,46863.0
2011-03,46986.0
2011-04,47109.0
2011-05,47232.0
2011-06,47355.0
2011-07,47478.0
2011-08,47601.0
2011-09,47724.0
2011-10,47847.0
2011-11,47970.0
2011-12,48093.0
2012-01,48218.0
2012-02,48339.0
2012-03,48460.0
2012-04,48581.0
2012-05,48702.0
2012-06,48823.0
2012-07,48944.0
2012-08,49065.0
2012-09,49186.0
2012-10,49307.0
2012-11,49428.0
2012-12,49549.0
2013-01,49423.0
2013-02,49302.0
2013-03,49181.0
2013-04,49060.0
2013-05,48939.0
2013-06,48818.0
2013-07,48697.0
2013-08,48576.0
2013-09,48455.0
2013-10,48334.0
2013-11,48213.0
2013-12,48092.0
2014-01,48209.0
2014-02,48331.0
2014-03,48453.0
2014-04,48575.0
2014-05,48697.0
2014-06,48819.0
2014-07,48941.0
2014-08,49063.0
2014-09,49185.0
2014-10,49307.0
2014-11,49429.0
2014-12,49551.0
2015-01,49757.0
2015-02,49967.0
2015-03,50177.0
2015-04,50387.0
2015-05,50597.0
2015-06,50807.0
2015-07,51017.0
2015-08,51227.0
2015-09,51437.0
2015-10,51647.0
2015-11,51857.0
2015-12,52067.0
2016-01,52127.0
2016-02,52192.0
2016-03,52257.0
2016-04,52322.0
2016-05,52387.0
2016-06,52452.0
2016-07,52517.0
2016-08,52582.0
2016-09,52647.0
2016-10,52712.0
2016-11,52777.0
2016-12,52842.0
2017-01,53045.0
2017-02,53252.0
2017-03,53459.0
2017-04,53666.0
2017-05,53873.0
2017-06,54080.0
2017-07,54287.0
2017-08,54494.0
2017-09,54701.0
2017-10,54908.0
2017-11,55115.0
2017-12,55322.0
2018-01,55419.0
2018-02,55513.0
2018-03,55607.0
2018-04,55701.0
2018-05,55795.0
2018-06,55889.0
2018-07,55983.0
2018-08,56077.0
2018-09,56171.0
2018-10,56265.0
2018-11,56359.0
2018-12,56453.0
2019-01,56513.0
2019-02,56569.0
2019-03,56625.0
2019-04,56681.0
2019-05,56737.0
2019-06,56793.0
2019-07,56849.0
2019-08,56905.0
2019-09,56961.0
2019-10,57017.0
2019-11,57073.0
2019-12,57129.0
2020-01,57171.0
2020-02,57214.0
2020-03,57257.0
2020-04,57300.0
2020-05,57343.0
2020-06,57386.0
2020-07,57429.0
2020-08,57472.0
2020-09,57515.0
2020-10,57558.0
2020-11,57601.0
2020-12,57644.0
