,avg_expenditure_55_64
2001-01,39517.0
2001-02,39694.0
2001-03,39871.0
2001-04,40048.0
2001-05,40225.0
2001-06,40402.0
2001-07,40579.0
2001-08,40756.0
2001-09,40933.0
2001-10,41110.0
2001-11,41287.0
2001-12,41464.0
2002-01,41701.0
2002-02,41940.0
2002-03,42179.0
2002-04,42418.0
2002-05,42657.0
2002-06,42896.0
2002-07,43135.0
2002-08,43374.0
2002-09,43613.0
2002-10,43852.0
2002-11,44091.0
2002-12,44330.0
2003-01,44318.0
2003-02,44306.0
2003-03,44294.0
2003-04,44282.0
2003-05,44270.0
2003-06,44258.0
2003-07,44246.0
2003-08,44234.0
2003-09,44222.0
2003-10,44210.0
2003-11,44198.0
2003-12,44186.0
2004-01,44450.0
2004-02,44709.0
2004-03,44968.0
2004-04,45227.0
2004-05,45486.0
2004-06,45745.0
2004-07,46004.0
2004-08,46263.0
2004-09,46522.0
2004-10,46781.0
2004-11,47040.0
2004-12,47299.0
2005-01,47490.0
2005-02,47681.0
2005-03,47872.0
2005-04,48063.0
2005-05,48254.0
2005-06,48445.0
2005-07,48636.0
2005-08,48827.0
2005-09,49018.0
2005-10,49209.0
2005-11,49400.0
2005-12,49591.0
2006-01,49692.0
2006-02,49792.0
2006-03,49892.0
2006-04,49992.0
2006-05,50092.0
2006-06,50192.0
2006-07,50292.0
2006-08,50392.0
2006-09,50492.0
2006-10,50592.0
2006-11,50692.0
2006-12,50792.0
2007-01,51039.0
2007-02,51289.0
2007-03,51539.0
2007-04,51789.0
2007-05,52039.0
2007-06,52289.0
2007-07,52539.0
2007-08,52789.0
2007-09,53039.0
2007-10,53289.0
2007-11,53539.0
2007-12,53789.0
2008-01,53869.0
2008-02,53952.0
2008-03,54035.0
2008-04,54118.0
2008-05,54201.0
2008-06,54284.0
2008-07,54367.0
2008-08,54450.0
2008-09,54533.0
2008-10,54616.0
2008-11,54699.0
2008-12,54782.0
2009-01,54590.0
2009-02,54397.0
2009-03,54204.0
2009-04,54011.0
2009-05,53818.0
2009-06,53625.0
2009-07,53432.0
2009-08,53239.0
2009-09,53046.0
2009-10,52853.0
2009-11,52660.0
2009-12,52467.0
2010-01,52333.0
2010-02,52203.0
2010-03,52073.0
2010-04,51943.0
2010-05,51813.0
2010-06,51683.0
2010-07,51553.0
2010-08,51423.0
2010-09,51293.0
2010-10,51163.0
2010-11,51033.0
2010-12,50903.0
2011-01,51126.0
2011-02,51352.0
2011-03,51578.0
2011-04,51804.0
2011-05,52030.0
2011-06,52256.0
2011-07,52482.0
2011-08,52708.0
2011-09,52934.0
2011-10,53160.0
2011-11,53386.0
2011-12,53612.0
2012-01,53784.0
2012-02,53952.0
2012-03,54120.0
2012-04,54288.0
2012-05,54456.0
2012-06,54624.0
2012-07,54792.0
2012-08,54960.0
2012-09,55128.0
2012-10,55296.0
2012-11,55464.0
2012-12,55632.0
2013-01,55657.0
2013-02,55678.0
2013-03,55699.0
2013-04,55720.0
2013-05,55741.0
2013-06,55762.0
2013-07,55783.0
2013-08,55804.0
2013-09,55825.0
2013-10,55846.0
2013-11,55867.0
2013-12,55888.0
2014-01,55923.0
2014-02,55954.0
2014-03,55985.0
2014-04,56016.0
2014-05,56047.0
2014-06,56078.0
2014-07,56109.0
2014-08,56140.0
2014-09,56171.0
2014-10,56202.0
2014-11,56233.0
2014-12,56264.0
2015-01,56477.0
2015-02,56687.0
2015-03,56897.0
2015-04,57107.0
2015-05,57317.0
2015-06,57527.0
2015-07,57737.0
2015-08,57947.0
2015-09,58157.0
2015-10,58367.0
2015-11,58577.0
2015-12,58787.0
2016-01,58995.0
2016-02,59209.0
2016-03,59423.0
2016-04,59637.0
2016-05,59851.0
2016-06,60065.0
2016-07,60279.0
2016-08,60493.0
2016-09,60707.0
2016-10,60921.0
2016-11,61135.0
2016-12,61349.0
2017-01,61648.0
2017-02,61950.0
2017-03,62252.0
2017-04,62554.0
2017-05,62856.0
2017-06,63158.0
2017-07,63460.0
2017-08,63762.0
2017-09,64064.0
2017-10,64366.0
2017-11,64668.0
2017-12,64970.0
2018-01,65075.0
2018-02,65178.0
2018-03,65281.0
2018-04,65384.0
2018-05,65487.0
2018-06,65590.0
2018-07,65693.0
2018-08,65796.0
2018-09,65899.0
2018-10,66002.0
2018-11,66105.0
2018-12,66208.0
2019-01,66486.0
2019-02,66760.0
2019-03,67034.0
2019-04,67308.0
2019-05,67582.0
2019-06,67856.0
2019-07,68130.0
2019-08,68404.0
2019-09,68678.0
2019-10,68952.0
2019-11,69226.0
2019-12,69500.0
2020-01,69114.0
2020-02,68734.0
2020-03,68354.0
2020-04,67974.0
2020-05,67594.0
2020-06,67214.0
2020-07,66834.0
2020-08,66454.0
2020-09,66074.0
2020-10,65694.0
2020-11,65314.0
2020-12,64934.0
