,avg_expenditure_25_34,avg_expenditure_35_44,avg_expenditure_45_54,avg_expenditure_55_64,CPI,employees_construction,GDP,HCAI_GOVT,HCAI_GSE,HCAI_PP,home-ownership-rate,houses-for-sale-to-sold,industrial_production_cement,0,MORTGAGE30US,pvt_owned_house_under_const,nonresidential_const_val,permits,personal_saving_rate,population,house_units_completed,producer_price_index_concrete_brick,residential_const_val,retail_sales_home_furnishing_stores,target,UNRATE,unrate_construction
2001-01-31,38987.0,45296.0,46308.0,39517.0,0.632183908,6824,10470.231,22.218,5.836,16.253,67.1,3.8,139.6212,3001.33,7.0325,986.0,278005,1699,4.9,284169.0,1456.0,144.2,348279,7764,109.845,4.2,9.8
2001-02-28,39029.0,45443.0,46456.0,39694.0,0.399771559,6841,10513.151,22.108,5.776000000000001,16.053,67.16999999999999,3.7,144.0119,3001.33,7.05,987.0,270735,1656,5.0,284392.0,1536.0,144.2,353629,7611,110.499,4.2,9.9
2001-03-31,39071.0,45590.0,46604.0,39871.0,0.227531286,6862,10556.071,21.998,5.716,15.853,67.24,3.8,147.6176,3001.33,6.952,1001.0,280450,1659,5.3,284615.0,1470.0,144.2,350029,7549,111.107,4.3,8.4
2001-04-30,39113.0,45737.0,46752.0,40048.0,0.397275823,6844,10599.0,21.887,5.647,15.664,67.30999999999999,3.9,152.7136,2813.0,7.0775,1007.0,278653,1666,5.1,284838.0,1574.0,148.0,361991,7560,111.65,4.4,7.1
2001-05-31,39155.0,45884.0,46900.0,40225.0,0.4522329,6849,10598.67,22.037,5.617,15.514,67.3,4.0,149.722,2813.0,7.145,1015.0,281069,1665,4.5,285086.67,1497.0,149.3,360534,7559,112.162,4.3,5.6
2001-06-30,39197.0,46031.0,47048.0,40402.0,0.16882386,6840,10598.34,22.187,5.587000000000001,15.364,67.36999999999999,4.2,147.0667,2813.0,7.159999999999999,1013.0,284499,1626,4.4,285335.34,1654.0,149.3,365905,7613,112.795,4.5,5.1
2001-07-31,39239.0,46178.0,47196.0,40579.0,-0.280898876,6845,10598.02,22.326,5.562,15.213,67.44,4.2,147.7762,2855.33,7.1275,1017.0,279200,1598,5.6,285584.0,1582.0,149.3,366500,7671,113.491,4.6,4.9
2001-08-31,39281.0,46325.0,47344.0,40756.0,0.0,6827,10618.83,22.306,5.402,15.203,67.50999999999999,4.4,145.366,2855.33,6.95,1011.0,274690,1615,6.6,285826.33,1615.0,149.3,369000,7628,114.167,4.9,5.8
2001-09-30,39323.0,46472.0,47492.0,40933.0,0.450704225,6813,10639.64,22.286,5.242,15.193,67.5,4.4,143.2778,2855.33,6.8175,1014.0,270320,1565,7.0,286068.66,1551.0,149.3,368809,7419,114.811,5.0,5.5
2001-10-31,39365.0,46619.0,47640.0,41110.0,-0.336511497,6804,10660.465,22.261,5.079,15.188,67.5,4.3,146.5513,2781.67,6.6175,1008.0,268404,1566,3.1,286311.0,1599.0,149.3,370957,7543,115.308,5.3,6.1
2001-11-30,39407.0,46766.0,47788.0,41287.0,-0.16882386,6784,10701.475,22.241,5.109,15.368,67.5,4.1,151.3547,2781.67,6.658,1011.0,260359,1651,3.5,286519.0,1555.0,149.3,375803,7694,115.854,5.5,7.6
2001-12-31,39449.0,46913.0,47936.0,41464.0,-0.394588501,6785,10742.485,22.221,5.138999999999999,15.548,67.5,3.8,149.5098,2781.67,7.065,996.0,264194,1680,3.8,286727.0,1693.0,149.3,376279,7869,116.452,5.7,9.0
2002-01-31,39523.0,47026.0,47998.0,41701.0,0.226372383,6775,10783.5,22.21,5.179,15.739,67.6,4.2,154.1419,2886.33,6.9975,996.0,263731,1665,5.7,286935.0,1632.0,149.3,377631,7847,117.143,5.7,13.6
2002-02-28,39595.0,47144.0,48066.0,41940.0,0.395256917,6766,10818.15,22.39,5.379,15.739,67.66999999999999,4.0,153.3632,2886.33,6.8925,1005.0,256668,1787,5.5,287148.0,1671.0,149.3,385745,7932,117.845,5.7,12.2
2002-03-31,39667.0,47262.0,48134.0,42179.0,0.562429696,6755,10852.8,22.57,5.579000000000001,15.739,67.74,4.1,144.805,2886.33,7.014,1013.0,252252,1691,5.6,287361.0,1559.0,148.6,385406,7936,118.688,5.7,11.8
2002-04-30,39739.0,47380.0,48202.0,42418.0,0.559284116,6710,10887.46,22.756,5.767,15.743,67.80999999999999,4.3,142.7848,2653.67,6.985,1011.0,250341,1669,5.5,287574.0,1625.0,150.1,398990,7874,119.611,5.9,10.1
2002-05-31,39811.0,47498.0,48270.0,42657.0,0.0,6684,10919.65,22.496,5.727,15.843,67.8,4.0,141.9244,2653.67,6.806,1019.0,241636,1716,6.2,287817.0,1705.0,150.1,394223,7959,120.724,5.8,7.4
2002-06-30,39883.0,47616.0,48338.0,42896.0,0.055617353,6701,10951.839999999998,22.236,5.687,15.943,67.83,4.2,144.884,2653.67,6.65,1023.0,235344,1758,6.2,288060.0,1589.0,150.5,401920,7831,121.812,5.8,6.9
2002-07-31,39955.0,47734.0,48406.0,43135.0,0.111172874,6688,10984.04,21.964,5.634,16.048,67.86,4.2,143.1954,2556.0,6.485,1029.0,229426,1738,5.4,288303.0,1615.0,150.5,404632,7741,122.886,5.8,6.9
2002-08-31,40027.0,47852.0,48474.0,43374.0,0.333148251,6701,11009.84,21.764,5.604,16.168,67.89,4.0,142.5378,2556.0,6.29,1013.0,227442,1695,5.4,288537.67,1722.0,150.5,398875,7837,123.829,5.7,7.4
