date,avg_expenditure_25_34,avg_expenditure_35_44,avg_expenditure_45_54,avg_expenditure_55_64,CPI,employees_construction,GDP,HCAI_GOVT,HCAI_GSE,HCAI_PP,home_ownership_rate,houses_for_sale_to_sold,industrial_production_cement,private_job_gains,MORTGAGE30US,pvt_owned_house_under_const,nonresidential_const_val,permits,personal_saving_rate,population,house_units_completed,producer_price_index_concrete_brick,residential_const_val,retail_sales_home_furnishing_stores,target,UNRATE,unrate_construction,avg_expenditure_35_54,gdp_per_capita,CPI_TREND,GDP_RATE,GDP_TREND,EMP_CONST_RATE,EMP_CONST_TREND,HCAI,houses_for_sale_to_sold_rate,HOUSES_S2S_TREND,industrial_production_cement_cum,cpi_cum,houses_for_sale_to_sold_cum,private_job_gains_cum,pvt_owned_house_under_const_cum,permits_cum,house_units_completed_cum,industrial_production_cement_rate,pvt_owned_house_under_const_rate,permits_rate,private_job_gains_rate,house_units_completed_rate,PERMITS_TREND,private_job_gains_trend,pvt_owned_house_under_const_trend,house_units_completed_trend
2001-01-31,38987.0,45296.0,46308.0,39517.0,0.632183908,6824,10470.231,22.218,5.836,16.253,67.1,1.33500106673234,139.6212,3001.33,7.0325,986.0,278005,1699,4.9,284169.0,1456.0,144.2,348279,7764,109.845,4.2,2.2823823856765264,91604.0,0.03684508514299589,UP,,DOWN,,DOWN,14.769,,DOWN,139.6212,0.632183908,1.33500106673234,3001.33,986.0,1699,1456.0,,,,,,DOWN,DOWN,DOWN,DOWN
2001-02-28,39029.0,45443.0,46456.0,39694.0,0.399771559,6841,10513.151,22.108,5.776000000000001,16.053,67.16999999999999,1.308332819650179,144.0119,3001.33,7.05,987.0,270735,1656,5.0,284392.0,1536.0,144.2,353629,7611,110.499,4.2,2.2925347571405443,91899.0,0.03696711229570452,UP,,DOWN,,DOWN,14.645666666666665,,DOWN,283.6331,1.031955467,2.6433338863825186,6002.66,1973.0,3355,2992.0,,,,,,DOWN,DOWN,DOWN,DOWN
2001-03-31,39071.0,45590.0,46604.0,39871.0,0.227531286,6862,10556.071,21.998,5.716,15.853,67.24,1.33500106673234,147.6176,3001.33,6.952,1001.0,280450,1659,5.3,284615.0,1470.0,144.2,350029,7549,111.107,4.3,2.128231705849268,92194.0,0.03708894822830842,UP,,DOWN,,DOWN,14.522333333333334,,DOWN,431.25070000000005,1.259486753,3.9783349531148584,9003.99,2974.0,5014,4462.0,,,,,,DOWN,DOWN,DOWN,DOWN
2001-04-30,39113.0,45737.0,46752.0,40048.0,0.397275823,6844,10599.0,21.887,5.647,15.664,67.30999999999999,1.3609765531356006,152.7136,2813.0,7.0775,1007.0,278653,1666,5.1,284838.0,1574.0,148.0,361991,7560,111.65,4.4,1.9600947840472698,92489.0,0.03721062498683462,UP,,DOWN,,DOWN,14.399333333333333,,DOWN,583.9643000000001,1.656762576,5.339311506250459,11816.99,3981.0,6680,6036.0,,,,,,DOWN,DOWN,DOWN,DOWN
2001-05-31,39155.0,45884.0,46900.0,40225.0,0.4522329,6849,10598.67,22.037,5.617,15.514,67.3,1.3862943611198906,149.722,2813.0,7.145,1015.0,281069,1665,4.5,285086.67,1497.0,149.3,360534,7559,112.162,4.3,1.7227665977411035,92784.0,0.03717701006504443,UP,,DOWN,,DOWN,14.389333333333333,,DOWN,733.6863000000001,2.108995476,6.72560586737035,14629.99,4996.0,8345,7533.0,,,,,,DOWN,DOWN,DOWN,DOWN
2001-06-30,39197.0,46031.0,47048.0,40402.0,0.16882386,6840,10598.34,22.187,5.587000000000001,15.364,67.36999999999999,1.4350845252893227,147.0667,2813.0,7.159999999999999,1013.0,284499,1626,4.4,285335.34,1654.0,149.3,365905,7613,112.795,4.5,1.62924053973028,93079.0,0.0371434537341221,UP,,DOWN,,DOWN,14.379333333333335,,DOWN,880.753,2.277819336,8.160690392659673,17442.989999999998,6009.0,9971,9187.0,,,,,,DOWN,DOWN,DOWN,DOWN
2001-07-31,39239.0,46178.0,47196.0,40579.0,-0.280898876,6845,10598.02,22.326,5.562,15.213,67.44,1.4350845252893227,147.7762,2855.33,7.1275,1017.0,279200,1598,5.6,285584.0,1582.0,149.3,366500,7671,113.491,4.6,1.589235205116581,93374.0,0.037109992156423334,DOWN,,DOWN,,DOWN,14.366999999999999,,DOWN,1028.5292,1.99692046,9.595774917948996,20298.32,7026.0,11569,10769.0,,,,,,DOWN,DOWN,DOWN,DOWN
2001-08-31,39281.0,46325.0,47344.0,40756.0,0.0,6827,10618.83,22.306,5.402,15.203,67.50999999999999,1.4816045409242156,145.366,2855.33,6.95,1011.0,274690,1615,6.6,285826.33,1615.0,149.3,369000,7628,114.167,4.9,1.7578579175523736,93669.0,0.037151335917863126,DOWN,,DOWN,,DOWN,14.303666666666667,,DOWN,1173.8952,1.99692046,11.07737945887321,23153.65,8037.0,13184,12384.0,,,,,,DOWN,DOWN,DOWN,DOWN
2001-09-30,39323.0,46472.0,47492.0,40933.0,0.450704225,6813,10639.64,22.286,5.242,15.193,67.5,1.4816045409242156,143.2778,2855.33,6.8175,1014.0,270320,1565,7.0,286068.66,1551.0,149.3,368809,7419,114.811,5.0,1.7047480922384253,93964.0,0.037192609634344426,UP,,DOWN,,DOWN,14.240333333333334,,DOWN,1317.173,2.447624685,12.558983999797427,26008.980000000003,9051.0,14749,13935.0,,,,,,DOWN,DOWN,DOWN,DOWN
2001-10-31,39365.0,46619.0,47640.0,41110.0,-0.336511497,6804,10660.465,22.261,5.079,15.188,67.5,1.4586150226995167,146.5513,2781.67,6.6175,1008.0,268404,1566,3.1,286311.0,1599.0,149.3,370957,7543,115.308,5.3,1.8082887711792655,94259.0,0.03723386457383754,DOWN,,DOWN,,DOWN,14.176,,DOWN,1463.7243,2.111113188,14.017599022496944,28790.65,10059.0,16315,15534.0,,,,,,DOWN,DOWN,DOWN,DOWN
