,home-ownership-rate
2001-01,67.1
2001-02,67.16999999999999
2001-03,67.24
2001-04,67.30999999999999
2001-05,67.3
2001-06,67.36999999999999
2001-07,67.44
2001-08,67.50999999999999
2001-09,67.5
2001-10,67.5
2001-11,67.5
2001-12,67.5
2002-01,67.6
2002-02,67.66999999999999
2002-03,67.74
2002-04,67.80999999999999
2002-05,67.8
2002-06,67.83
2002-07,67.86
2002-08,67.89
2002-09,67.9
2002-10,67.9
2002-11,67.9
2002-12,67.9
2003-01,67.9
2003-02,67.87
2003-03,67.84
2003-04,67.81
2003-05,67.8
2003-06,67.83
2003-07,67.86
2003-08,67.89
2003-09,67.9
2003-10,68.0
2003-11,68.10000000000001
2003-12,68.2
2004-01,68.1
2004-02,68.13
2004-03,68.16
2004-04,68.19
2004-05,68.2
2004-06,68.23
2004-07,68.26
2004-08,68.29
2004-09,68.3
2004-10,68.36999999999999
2004-11,68.44
2004-12,68.50999999999999
2005-01,68.7
2005-02,68.93
2005-03,69.16
2005-04,69.39
2005-05,69.4
2005-06,69.23
2005-07,69.06
2005-08,68.89
2005-09,68.9
2005-10,68.97
2005-11,69.04
2005-12,69.11
2006-01,69.2
2006-02,69.03
2006-03,68.86
2006-04,68.69
2006-05,68.7
2006-06,68.7
2006-07,68.7
2006-08,68.7
2006-09,68.7
2006-10,68.77
2006-11,68.84
2006-12,68.91
2007-01,68.6
2007-02,68.66999999999999
2007-03,68.74
2007-04,68.80999999999999
2007-05,68.8
2007-06,68.83
2007-07,68.86
2007-08,68.89
2007-09,68.9
2007-10,68.87
2007-11,68.84
2007-12,68.81
2008-01,68.5
2008-02,68.43
2008-03,68.36
2008-04,68.29
2008-05,68.3
2008-06,68.2
2008-07,68.1
2008-08,68.0
2008-09,68.0
2008-10,67.93
2008-11,67.86
2008-12,67.79
2009-01,67.9
2009-02,67.97
2009-03,68.04
2009-04,68.11
2009-05,68.1
2009-06,67.97
2009-07,67.83999999999999
2009-08,67.71
2009-09,67.7
2009-10,67.63000000000001
2009-11,67.56
2009-12,67.49000000000001
2010-01,67.4
2010-02,67.4
2010-03,67.4
2010-04,67.4
2010-05,67.4
2010-06,67.4
2010-07,67.4
2010-08,67.4
2010-09,67.4
2010-10,67.33000000000001
2010-11,67.26
2010-12,67.19000000000001
2011-01,67.2
2011-02,67.10000000000001
2011-03,67.0
2011-04,66.9
2011-05,66.9
2011-06,66.83000000000001
2011-07,66.76
2011-08,66.69000000000001
2011-09,66.7
2011-10,66.63000000000001
2011-11,66.56
2011-12,66.49000000000001
2012-01,66.5
2012-02,66.33
2012-03,66.16
2012-04,65.99
2012-05,66.0
2012-06,66.03
2012-07,66.06
2012-08,66.09
2012-09,66.1
2012-10,66.03
2012-11,65.96
2012-12,65.89
2013-01,65.6
2013-02,65.6
2013-03,65.6
2013-04,65.6
2013-05,65.6
2013-06,65.53
2013-07,65.46
2013-08,65.39
2013-09,65.4
2013-10,65.37
2013-11,65.34
2013-12,65.31
2014-01,65.2
2014-02,65.17
2014-03,65.14
2014-04,65.11
2014-05,65.1
2014-06,65.13
2014-07,65.16
2014-08,65.19
2014-09,65.2
2014-10,65.17
2014-11,65.14
2014-12,65.11
2015-01,64.9
2015-02,64.87
2015-03,64.84
2015-04,64.81
2015-05,64.8
2015-06,64.63
2015-07,64.46
2015-08,64.28999999999999
2015-09,64.3
2015-10,64.17
2015-11,64.03999999999999
2015-12,63.91
2016-01,63.8
2016-02,63.699999999999996
2016-03,63.599999999999994
2016-04,63.5
2016-05,63.5
2016-06,63.53
2016-07,63.56
2016-08,63.59
2016-09,63.6
2016-10,63.63
2016-11,63.660000000000004
2016-12,63.690000000000005
2017-01,63.5
2017-02,63.37
2017-03,63.24
2017-04,63.11
2017-05,63.1
2017-06,63.2
2017-07,63.300000000000004
2017-08,63.4
2017-09,63.4
2017-10,63.43
2017-11,63.46
2017-12,63.49
2018-01,63.6
2018-02,63.7
2018-03,63.800000000000004
2018-04,63.9
2018-05,63.9
2018-06,63.9
2018-07,63.9
2018-08,63.9
2018-09,63.9
2018-10,63.93
2018-11,63.96
2018-12,63.99
2019-01,64.2
2019-02,64.3
2019-03,64.4
2019-04,64.5
2019-05,64.5
2019-06,64.47
2019-07,64.44
2019-08,64.41
2019-09,64.4
2019-10,64.47
2019-11,64.54
2019-12,64.61
2020-01,64.2
2020-02,64.23
2020-03,64.26
2020-04,64.29
2020-05,64.3
2020-06,64.42999999999999
2020-07,64.56
2020-08,64.69
2020-09,64.7
2020-10,64.8
2020-11,64.9
2020-12,65.0
