,0
2001-01-31,3001.33
2001-02-28,3001.33
2001-03-31,3001.33
2001-04-30,2813.0
2001-05-31,2813.0
2001-06-30,2813.0
2001-07-31,2855.33
2001-08-31,2855.33
2001-09-30,2855.33
2001-10-31,2781.67
2001-11-30,2781.67
2001-12-31,2781.67
2002-01-31,2886.33
2002-02-28,2886.33
2002-03-31,2886.33
2002-04-30,2653.67
2002-05-31,2653.67
2002-06-30,2653.67
2002-07-31,2556.0
2002-08-31,2556.0
2002-09-30,2556.0
2002-10-31,2515.33
2002-11-30,2515.33
2002-12-31,2515.33
2003-01-31,2741.67
2003-02-28,2741.67
2003-03-31,2741.67
2003-04-30,2614.67
2003-05-31,2614.67
2003-06-30,2614.67
2003-07-31,2560.33
2003-08-31,2560.33
2003-09-30,2560.33
2003-10-31,2495.33
2003-11-30,2495.33
2003-12-31,2495.33
2004-01-31,2542.0
2004-02-29,2542.0
2004-03-31,2542.0
2004-04-30,2460.33
2004-05-31,2460.33
2004-06-30,2460.33
2004-07-31,2478.0
2004-08-31,2478.0
2004-09-30,2478.0
2004-10-31,2510.33
2004-11-30,2510.33
2004-12-31,2510.33
2005-01-31,2623.33
2005-02-28,2623.33
2005-03-31,2623.33
2005-04-30,2574.0
2005-05-31,2574.0
2005-06-30,2574.0
2005-07-31,2561.0
2005-08-31,2561.0
2005-09-30,2561.0
2005-10-31,2616.0
2005-11-30,2616.0
2005-12-31,2616.0
2006-01-31,2593.0
2006-02-28,2593.0
2006-03-31,2593.0
2006-04-30,2584.33
2006-05-31,2584.33
2006-06-30,2584.33
2006-07-31,2674.33
2006-08-31,2674.33
2006-09-30,2674.33
2006-10-31,2604.0
2006-11-30,2604.0
2006-12-31,2604.0
2007-01-31,2626.67
2007-02-28,2626.67
2007-03-31,2626.67
2007-04-30,2588.67
2007-05-31,2588.67
2007-06-30,2588.67
2007-07-31,2515.0
2007-08-31,2515.0
2007-09-30,2515.0
2007-10-31,2590.0
2007-11-30,2590.0
2007-12-31,2590.0
2008-01-31,2605.0
2008-02-29,2605.0
2008-03-31,2605.0
2008-04-30,2549.0
2008-05-31,2549.0
2008-06-30,2549.0
2008-07-31,2458.67
2008-08-31,2458.67
2008-09-30,2458.67
2008-10-31,2562.33
2008-11-30,2562.33
2008-12-31,2562.33
2009-01-31,2440.0
2009-02-28,2440.0
2009-03-31,2440.0
2009-04-30,2427.0
2009-05-31,2427.0
2009-06-30,2427.0
2009-07-31,2314.67
2009-08-31,2314.67
2009-09-30,2314.67
2009-10-31,2246.0
2009-11-30,2246.0
2009-12-31,2246.0
2010-01-31,1972.67
2010-02-28,1972.67
