DATE,personal_saving_rate
2001-01,4.9
2001-02,5.0
2001-03,5.3
2001-04,5.1
2001-05,4.5
2001-06,4.4
2001-07,5.6
2001-08,6.6
2001-09,7.0
2001-10,3.1
2001-11,3.5
2001-12,3.8
2002-01,5.7
2002-02,5.5
2002-03,5.6
2002-04,5.5
2002-05,6.2
2002-06,6.2
2002-07,5.4
2002-08,5.4
2002-09,5.9
2002-10,5.8
2002-11,5.8
2002-12,5.4
2003-01,5.4
2003-02,5.3
2003-03,5.0
2003-04,5.1
2003-05,5.5
2003-06,5.3
2003-07,6.1
2003-08,5.9
2003-09,5.1
2003-10,5.3
2003-11,5.3
2003-12,5.2
2004-01,4.9
2004-02,4.9
2004-03,4.7
2004-04,5.1
2004-05,5.1
2004-06,5.6
2004-07,5.0
2004-08,5.0
2004-09,4.4
2004-10,4.3
2004-11,3.8
2004-12,6.6
2005-01,3.2
2005-02,2.9
2005-03,3.1
2005-04,2.7
2005-05,3.2
2005-06,2.6
2005-07,2.1
2005-08,2.6
2005-09,2.7
2005-10,2.9
2005-11,3.2
2005-12,3.1
2006-01,3.7
2006-02,3.9
2006-03,4.1
2006-04,3.8
2006-05,3.6
2006-06,3.7
2006-07,3.1
2006-08,3.3
2006-09,3.2
2006-10,3.2
2006-11,3.6
2006-12,3.5
2007-01,3.2
2007-02,3.6
2007-03,3.9
2007-04,3.8
2007-05,3.6
2007-06,3.5
2007-07,3.4
2007-08,3.1
2007-09,3.1
2007-10,3.0
2007-11,2.8
2007-12,3.2
2008-01,3.2
2008-02,3.6
2008-03,3.4
2008-04,2.9
2008-05,7.3
2008-06,5.1
2008-07,4.0
2008-08,3.5
2008-09,4.3
2008-10,5.2
2008-11,6.3
2008-12,6.2
2009-01,6.2
2009-02,5.6
2009-03,5.9
2009-04,6.6
2009-05,7.9
2009-06,6.2
2009-07,5.5
2009-08,4.5
2009-09,5.6
2009-10,5.2
2009-11,5.6
2009-12,5.6
2010-01,5.9
2010-02,5.6
2010-03,5.6
2010-04,6.2
2010-05,6.7
2010-06,6.5
2010-07,6.4
2010-08,6.5
2010-09,6.5
2010-10,6.3
2010-11,6.1
2010-12,6.5
2011-01,6.9
2011-02,7.2
2011-03,6.6
2011-04,6.6
2011-05,6.5
2011-06,6.7
2011-07,6.9
2011-08,6.9
2011-09,6.5
2011-10,6.5
2011-11,6.6
2011-12,7.5
2012-01,7.8
2012-02,7.8
2012-03,8.2
2012-04,8.5
2012-05,8.6
2012-06,8.6
2012-07,7.8
2012-08,7.6
2012-09,8.1
2012-10,8.7
2012-11,9.5
2012-12,11.6
2013-01,5.9
2013-02,5.6
2013-03,5.9
2013-04,6.2
2013-05,6.4
2013-06,6.5
2013-07,6.3
2013-08,6.4
2013-09,6.5
2013-10,6.0
2013-11,5.8
2013-12,6.0
2014-01,6.7
2014-02,6.6
2014-03,6.7
2014-04,6.9
2014-05,7.1
2014-06,7.1
2014-07,7.2
2014-08,7.0
2014-09,7.2
2014-10,7.1
2014-11,7.3
2014-12,7.7
2015-01,8.0
2015-02,8.1
2015-03,7.7
2015-04,7.6
2015-05,7.5
2015-06,7.4
2015-07,7.3
2015-08,7.3
2015-09,7.4
2015-10,7.5
2015-11,7.3
2015-12,7.4
2016-01,7.7
2016-02,7.2
2016-03,7.6
2016-04,7.2
2016-05,6.9
2016-06,6.6
2016-07,6.8
2016-08,6.8
2016-09,6.8
2016-10,6.9
2016-11,7.0
2016-12,6.5
2017-01,6.9
2017-02,7.2
2017-03,7.2
2017-04,7.2
2017-05,7.8
2017-06,7.5
2017-07,7.6
2017-08,7.6
2017-09,7.3
2017-10,7.4
2017-11,7.0
2017-12,6.6
2018-01,7.4
2018-02,7.6
2018-03,7.6
2018-04,7.4
2018-05,7.5
2018-06,7.6
2018-07,7.6
2018-08,7.6
2018-09,7.6
2018-10,7.4
2018-11,7.2
2018-12,9.0
2019-01,8.7
2019-02,8.8
2019-03,8.2
2019-04,7.7
2019-05,7.4
2019-06,7.2
2019-07,7.0
2019-08,7.2
2019-09,7.3
2019-10,7.4
2019-11,7.5
2019-12,7.3
2020-01,7.8
2020-02,8.3
2020-03,13.1
2020-04,33.8
2020-05,24.8
2020-06,19.3
2020-07,18.7
2020-08,15.0
2020-09,14.3
2020-10,13.6
2020-11,13.0
2020-12,14.0
