DATE,producer_price_index_concrete_brick
2001-01,144.2
2001-02,144.2
2001-03,144.2
2001-04,148.0
2001-05,149.3
2001-06,149.3
2001-07,149.3
2001-08,149.3
2001-09,149.3
2001-10,149.3
2001-11,149.3
2001-12,149.3
2002-01,149.3
2002-02,149.3
2002-03,148.6
2002-04,150.1
2002-05,150.1
2002-06,150.5
2002-07,150.5
2002-08,150.5
2002-09,150.5
2002-10,150.5
2002-11,150.5
2002-12,150.5
2003-01,150.5
2003-02,152.4
2003-03,153.7
2003-04,154.4
2003-05,154.4
2003-06,154.4
2003-07,154.4
2003-08,154.4
2003-09,154.4
2003-10,154.4
2003-11,154.4
2003-12,154.4
2004-01,154.4
2004-02,154.4
2004-03,154.4
2004-04,155.6
2004-05,155.6
2004-06,155.6
2004-07,155.6
2004-08,155.6
2004-09,155.6
2004-10,155.6
2004-11,155.6
2004-12,155.6
2005-01,156.0
2005-02,161.6
2005-03,159.2
2005-04,163.2
2005-05,163.2
2005-06,163.2
2005-07,163.2
2005-08,163.2
2005-09,163.2
2005-10,163.2
2005-11,163.2
2005-12,163.3
2006-01,167.4
2006-02,168.9
2006-03,168.9
2006-04,169.4
2006-05,169.4
2006-06,169.4
2006-07,169.4
2006-08,169.4
2006-09,169.4
2006-10,169.4
2006-11,169.4
2006-12,169.4
2007-01,173.4
2007-02,173.6
2007-03,175.7
2007-04,188.5
2007-05,188.5
2007-06,188.5
2007-07,188.5
2007-08,188.5
2007-09,188.5
2007-10,188.6
2007-11,188.6
2007-12,188.6
2008-01,189.0
2008-02,189.0
2008-03,189.0
2008-04,189.0
2008-05,188.3
2008-06,188.3
2008-07,188.7
2008-08,190.7
2008-09,191.2
2008-10,197.1
2008-11,197.1
2008-12,197.1
2009-01,197.1
2009-02,197.1
2009-03,197.1
2009-04,197.1
2009-05,197.0
2009-06,197.0
2009-07,197.0
2009-08,197.0
2009-09,197.0
2009-10,197.0
2009-11,197.0
2009-12,197.0
2010-01,196.5
2010-02,196.5
2010-03,196.5
2010-04,196.0
2010-05,196.0
2010-06,196.0
2010-07,196.0
2010-08,196.0
2010-09,196.0
2010-10,196.0
2010-11,196.0
2010-12,196.0
2011-01,196.0
2011-02,196.0
2011-03,196.0
2011-04,196.0
2011-05,198.8
2011-06,198.8
2011-07,198.8
2011-08,198.8
2011-09,198.8
2011-10,199.4
2011-11,199.4
2011-12,199.3
2012-01,199.3
2012-02,199.3
2012-03,199.3
2012-04,199.3
2012-05,200.8
2012-06,200.7
2012-07,200.7
2012-08,200.7
2012-09,200.7
2012-10,200.7
2012-11,200.7
2012-12,200.7
2013-01,201.4
2013-02,201.4
2013-03,201.4
2013-04,203.8
2013-05,203.8
2013-06,203.8
2013-07,203.8
2013-08,201.8
2013-09,201.8
2013-10,201.8
2013-11,201.8
2013-12,201.8
2014-01,207.0
2014-02,207.0
2014-03,207.0
2014-04,207.0
2014-05,207.0
2014-06,207.0
2014-07,207.0
2014-08,207.0
2014-09,207.0
2014-10,207.0
2014-11,207.0
2014-12,207.1
2015-01,208.2
2015-02,208.2
2015-03,208.2
2015-04,208.4
2015-05,208.4
2015-06,208.4
2015-07,208.4
2015-08,208.4
2015-09,208.4
2015-10,208.4
2015-11,208.4
2015-12,208.4
2016-01,214.8
2016-02,214.8
2016-03,215.0
2016-04,215.7
2016-05,215.7
2016-06,215.7
2016-07,215.7
2016-08,215.7
2016-09,215.7
2016-10,215.7
2016-11,215.7
2016-12,215.7
2017-01,217.4
2017-02,217.4
2017-03,217.2
2017-04,219.2
2017-05,219.2
2017-06,219.2
2017-07,219.2
2017-08,226.7
2017-09,248.0
2017-10,248.0
2017-11,248.0
2017-12,248.0
2018-01,230.9
2018-02,230.9
2018-03,240.5
2018-04,242.7
2018-05,245.0
2018-06,245.0
2018-07,245.1
2018-08,250.6
2018-09,250.6
2018-10,250.6
2018-11,250.6
2018-12,249.0
2019-01,250.7
2019-02,250.5
2019-03,252.4
2019-04,253.3
2019-05,256.5
2019-06,254.1
2019-07,253.4
2019-08,252.1
2019-09,253.4
2019-10,251.1
2019-11,251.9
2019-12,252.7
2020-01,252.9
2020-02,253.7
2020-03,257.2
2020-04,257.6
2020-05,263.3
2020-06,263.3
2020-07,261.4
2020-08,261.4
2020-09,263.3
2020-10,263.3
2020-11,263.3
2020-12,263.3
