DATE,target
2001-01,109.845
2001-02,110.499
2001-03,111.107
2001-04,111.65
2001-05,112.162
2001-06,112.795
2001-07,113.491
2001-08,114.167
2001-09,114.811
2001-10,115.308
2001-11,115.854
2001-12,116.452
2002-01,117.143
2002-02,117.845
2002-03,118.688
2002-04,119.611
2002-05,120.724
2002-06,121.812
2002-07,122.886
2002-08,123.829
2002-09,124.778
2002-10,125.733
2002-11,126.668
2002-12,127.622
2003-01,128.46
2003-02,129.355
2003-03,130.148
2003-04,130.885
2003-05,131.735
2003-06,132.649
2003-07,133.776
2003-08,134.967
2003-09,136.29399999999998
2003-10,137.531
2003-11,138.79399999999998
2003-12,140.18
2004-01,141.64700000000002
2004-02,143.19299999999998
2004-03,145.06
2004-04,146.591
2004-05,148.184
2004-06,149.849
2004-07,151.33700000000002
2004-08,152.63299999999998
2004-09,154.178
2004-10,155.751
2004-11,157.528
2004-12,159.33
2005-01,161.289
2005-02,163.344
2005-03,165.813
2005-04,167.502
2005-05,169.352
2005-06,171.19
2005-07,172.86
2005-08,174.442
2005-09,176.438
2005-10,178.028
2005-11,179.68200000000002
2005-12,180.91
2006-01,182.321
2006-02,183.288
2006-03,184.365
2006-04,184.329
2006-05,184.157
2006-06,183.508
2006-07,183.068
2006-08,182.595
2006-09,182.8
2006-10,183.201
2006-11,183.611
2006-12,184.141
2007-01,184.518
2007-02,184.599
2007-03,184.15
2007-04,183.011
2007-05,181.602
2007-06,180.256
2007-07,179.113
2007-08,178.12
2007-09,177.56099999999998
2007-10,176.625
2007-11,175.148
2007-12,174.343
2008-01,173.134
2008-02,171.543
2008-03,170.05599999999998
2008-04,168.33900000000003
2008-05,166.66099999999997
2008-06,165.02
2008-07,163.571
2008-08,161.99200000000002
2008-09,160.313
2008-10,158.33100000000002
2008-11,156.144
2008-12,153.618
2009-01,151.505
2009-02,150.012
2009-03,148.658
2009-04,147.94899999999998
2009-05,147.694
2009-06,148.09
2009-07,148.41
2009-08,148.276
2009-09,148.023
2009-10,147.849
2009-11,148.134
2009-12,147.93
2010-01,147.394
2010-02,145.631
2010-03,145.857
2010-04,146.399
2010-05,146.39
2010-06,145.716
2010-07,144.988
2010-08,143.912
2010-09,143.016
2010-10,142.528
2010-11,142.172
2010-12,142.063
2011-01,141.528
2011-02,140.357
2011-03,139.987
2011-04,140.012
2011-05,139.905
2011-06,139.862
2011-07,139.731
2011-08,139.309
2011-09,138.668
2011-10,137.951
2011-11,137.151
2011-12,136.673
2012-01,136.606
2012-02,136.532
2012-03,137.908
2012-04,139.159
2012-05,140.159
2012-06,141.032
2012-07,141.66899999999998
2012-08,142.279
2012-09,142.909
2012-10,143.60299999999998
2012-11,144.588
2012-12,145.504
2013-01,146.835
2013-02,147.78
2013-03,149.96200000000002
2013-04,151.52200000000002
2013-05,152.858
2013-06,154.205
2013-07,155.613
2013-08,156.977
2013-09,158.235
2013-10,159.247
2013-11,160.076
2013-12,160.997
2014-01,161.944
2014-02,162.53
2014-03,163.094
2014-04,163.404
2014-05,163.671
2014-06,164.067
2014-07,164.582
2014-08,165.22099999999998
2014-09,165.91299999999998
2014-10,166.649
2014-11,167.34099999999998
2014-12,168.05900000000003
2015-01,168.66299999999998
2015-02,169.146
2015-03,169.82
2015-04,170.31799999999998
2015-05,170.898
2015-06,171.483
2015-07,172.14700000000002
2015-08,172.954
2015-09,173.84799999999998
2015-10,174.81099999999998
2015-11,175.755
2015-12,176.55599999999998
2016-01,177.291
2016-02,177.658
2016-03,178.18900000000002
2016-04,178.804
2016-05,179.47299999999998
2016-06,180.135
2016-07,180.875
2016-08,181.893
2016-09,182.857
2016-10,183.768
2016-11,184.753
2016-12,185.692
2017-01,186.778
2017-02,187.294
2017-03,188.03
2017-04,188.812
2017-05,189.723
2017-06,190.626
2017-07,191.546
2017-08,192.775
2017-09,193.827
2017-10,194.801
2017-11,195.881
2017-12,197.043
2018-01,198.172
2018-02,199.133
2018-03,200.03
2018-04,200.868
2018-05,201.682
2018-06,202.485
2018-07,203.097
2018-08,203.865
2018-09,204.421
2018-10,205.025
2018-11,205.453
2018-12,205.83
2019-01,206.213
2019-02,206.649
2019-03,207.209
2019-04,207.928
2019-05,208.626
2019-06,209.112
2019-07,209.633
2019-08,210.357
2019-09,210.998
2019-10,211.606
2019-11,212.43
2019-12,213.372
2020-01,214.41
2020-02,215.474
2020-03,216.632
2020-04,217.495
2020-05,217.801
2020-06,218.36
2020-07,219.915
2020-08,222.704
2020-09,225.908
2020-10,229.41
2020-11,232.643
2020-12,235.604
